nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,FGFR,HER2,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0,0,,metastatic
NCT02138734,A Study of Intravesical BCG in Combination With ALT-803 in Patients With Non-Muscle Invasive Bladder Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,369,"ImmunityBio, Inc.",ImmunityBio,63,1,0,active_comparator,2,bcg (,bcg (,IL-15,Cell Therapy,,1,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT02202772,"Intravesical Cabazitaxel, Gemcitabine, and Cisplatin (CGC) in the Treatment Urothelial Carcinoma of the Bladder",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,51,Guarionex J. Decastro,Guarionex J. Decastro,1,0,1,multi_experimental,5,cabazitaxel;gemcitabine,cabazitaxel;cisplatin;gemcitabine,TUBB3,Small Molecule,,0,1,0,0,0,0,0,1,0,,recurrent · 2nd-line+ · ECOG 0
NCT02365597,An Efficacy and Safety Study of Erdafitinib (JNJ-42756493) in Participants With Urothelial Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,239,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,single_arm,1,erdafitinib;metformin;midazolam,erdafitinib;metformin;midazolam,FGFR,Small Molecule,FGFR;PR;genomic,0,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT02500121,Testing the PD-1 Inhibitor Pembrolizumab as Maintenance Therapy After Initial Chemotherapy in Metastatic Bladder Cancer,PHASE2,Phase 2,COMPLETED,108,Matthew Galsky,Matthew Galsky,11,0,1,placebo_comparator,2,,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,0,1,0,0,0,1,1,1,PD-L1+,metastatic · 1st-line · squamous
NCT02516241,Study of MEDI4736 (Durvalumab) With or Without Tremelimumab Versus Standard of Care Chemotherapy in Urothelial Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1126,AstraZeneca,AstraZeneca,780,1,1,active_comparator,3,carboplatin;cisplatin;gemcitabine,medi4736 (durvalumab);tremelimumab,PD-L1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,1,1,1,PD-L1+,metastatic · 1st-line
NCT02546661,"Open-Label, Randomised, Multi-Drug, Biomarker-Directed, Phase 1b Study in Pts w/ Muscle Invasive Bladder Cancer",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,117,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,8,,azd1775;azd4547;azd9150;medi4736;olaparib;selumetinib;vistusertib,FGFR1,Small Molecule,FGFR1;FGFR1 Polysomy;biomarker,0,1,0,1,0,0,0,1,1,FGFR-alt,metastatic · 2nd-line+
NCT02560636,Pembrolizumab in Muscle Invasive/Metastatic Bladder Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,34,Royal Marsden NHS Foundation Trust,Royal Marsden NHS Foundation Trust,40,0,1,multi_experimental,5,pembrolizumab;radiotherapy,pembrolizumab;radiotherapy,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT02621151,"Pembrolizumab (MK3475), Gemcitabine, and Concurrent Hypofractionated Radiation Therapy for Muscle-Invasive Urothelial Cancer of the Bladder",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,60,NYU Langone Health,NYU Langone Health,39,0,1,single_arm,1,external beam radiation therapy;gemcitabine;pembrolizumab;transurethral resection of bladder tumor,external beam radiation therapy;gemcitabine;pembrolizumab;transurethral resection of bladder tumor,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,neoadjuvant
NCT02845323,Neoadjuvant Nivolumab With and Without Urelumab in Cisplatin-Ineligible or Chemotherapy-refusing Patients With Muscle-Invasive Urothelial Carcinoma of the Bladder,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,15,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,active_comparator,2,nivolumab monotherapy,nivolumab in combination with urelumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · ECOG 2
