nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HR/ER,HER2,PD-L1,BRCA/HRD,PIK3CA,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT00099437,Comparison of Fulvestrant (FASLODEX™) 250 mg and 500 mg in Postmenopausal Women With Oestrogen Receptor Positive Advanced Breast Cancer Progressing or Relapsing After Previous Endocrine Therapy.,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,736,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,2,fulvestrant,fulvestrant,ER,Small Molecule,ER,0,1,1,0,0,0,0,0,0,1,HR+,advanced
NCT00248287,PhII ICb With/Without Erbitux in MBC Pts,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,154,US Oncology Research,US Oncology Research,24,1,1,active_comparator,2,irinotecan + carboplatin,irinotecan + carboplatin + erbitux,EGFR,Small Molecule,EGFR;ER;HER2;PR;molecular profiling,0,1,0,1,0,0,0,1,0,1,HER2+,metastatic · 1st-line · measurable (RECIST)
NCT00999804,Extension Study of Lapatinib Plus Herceptin With or Without Endocrine Therapy,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,128,Baylor Breast Care Center,Baylor Breast Care Center,6,0,1,active_comparator,2,lapatinib;letrozole;trastuzumab,lapatinib;letrozole;trastuzumab,HER2,Small Molecule,ER;HER2,0,1,0,1,0,0,0,0,0,1,HER2+,locally advanced · squamous · ECOG 0-1
NCT01273610,Tolerability of the Combination of Lapatinib and Trastuzumab in Adults Age 60 or Older With HER2 Positive Locally Advanced or Metastatic Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,City of Hope Medical Center,City of Hope Medical Center,13,0,1,single_arm,1,laboratory biomarker analysis;lapatinib;pharmacological study;trastuzumab,laboratory biomarker analysis;lapatinib;pharmacological study;trastuzumab,HER2,Small Molecule,HER2,0,1,0,1,0,0,0,0,0,1,HER2+,metastatic · measurable (RECIST)
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0,0,0,,metastatic
NCT01723774,PD 0332991 and Anastrozole for Stage 2 or 3 Estrogen Receptor Positive and HER2 Negative Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,84,Washington University School of Medicine,Washington University School of Medicine,178,0,1,multi_experimental,3,anastrozole;goserelin;pd0332991;surgery (standard of care);tumor biopsy,anastrozole;goserelin;pd0332991;surgery (standard of care);tumor biopsy,CDK4/6,Small Molecule,ER;HER2;MET,0,1,1,1,0,0,1,0,0,1,"HR+, HER2+, PIK3CAm",metastatic
NCT01872260,"Study of LEE011, BYL719 and Letrozole in Advanced ER+ Breast Cancer",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,259,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,4,letrozole,byl719;lee011;letrozole,CDK4/6,Small Molecule,ER;HER2,0,1,0,1,0,0,0,0,0,1,HER2+,metastatic
NCT01898117,Triple-B Study;Carboplatin-cyclophosphamide Versus Paclitaxel With or Without Atezolizumab as First-line Treatment in Advanced Triple Negative Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,304,The Netherlands Cancer Institute,The Netherlands Cancer Institute,72,0,1,active_comparator,4,carbo/cyclo;carbo/cyclo + atezolizumab;paclitaxel;paclitaxel + atezolizumab,,PD-L1,Monoclonal Antibody,ER;HER2;PD-L1,1,1,1,1,0,1,0,0,0,1,"HR+, HER2+, BRCA/HRD+",metastatic · measurable (RECIST)
NCT01937117,Pertuzumab and Trastuzumab as Neoadjuvant Treatment in Patients With HER2-Positive Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,88,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,single_arm,1,pertuzumab;positron emission tomography (pet);trastuzumab,pertuzumab;positron emission tomography (pet);trastuzumab,HER2,Monoclonal Antibody,ER;HER2;PR,1,1,1,1,0,0,0,0,0,1,"HR+, HER2+",squamous
NCT01992952,Fulvestrant +/- Akt Inhibition in Advanced Aromatase Inhibitor Resistant Breast Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,149,Velindre NHS Trust,Velindre NHS Trust,2,0,1,active_comparator,2,fulvestrant,azd5363;fulvestrant,AKT1,Small Molecule,ER,0,1,1,0,0,0,1,0,1,1,"HR+, PIK3CAm",metastatic · 2nd-line+ · measurable (RECIST)
