nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,RAS/RAF_wt,MSI-H/dMMR,MSS/pMMR,HER2,BRAF_mut,KRAS_G12C,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT01349881,"S0820, Adenoma and Second Primary Prevention Trial",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,354,SWOG Cancer Research Network,SWOG Cancer Research Network,15,0,0,placebo_comparator,4,eflornithine placebo & sulindac placebo,eflornithine & sulindac placebo;eflornithine placebo & sulindac;eflornithine plus sulindac,,,,0,1,0,0,0,0,0,0,0,0,0,,metastatic · squamous
NCT02008656,Trial Evaluating 3-year Disease Free Survival in Patients With Locally Advanced Rectal Cancer Treated With Chemoradiation Plus Induction or Consolidation Chemotherapy and Total Mesorectal Excision or Non-operative Management,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,358,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,2,5-fluorouracil (5-fu);behavioral: quality of life questionnaires;capecitabine (xeloda);dre-endoscopy;intensity modulated radiotherapy (imrt);leucovorin;oxaliplatin (oxal),5-fluorouracil (5-fu);behavioral: quality of life questionnaires;capecitabine (xeloda);dre-endoscopy;intensity modulated radiotherapy (imrt);leucovorin;oxaliplatin (oxal),,Small Molecule,,0,1,0,0,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT02172651,Vitamin D in Patients With Stage I-III Colon Cancer or Resectable Colon Cancer Liver Metastases,EARLY_PHASE1,Phase 1,RECRUITING,80,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,0,placebo_comparator,2,,vitamin d3,,Cell Therapy,MET,1,0,0,0,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT02403505,Early Phase Clinical Trial About Therapeutic Biological Product Mix for Treating CEA Positive Rectal Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,20,"Han Xu, M.D., Ph.D., FAPCR, Sponsor-Investigator, IRB Chair","Han Xu, M.D., Ph.D., FAPCR, Sponsor-Investigator, IRB Chair",5,1,0,single_arm,1,cea protein antigen plus bcg vaccine mix for percutaneous use,cea protein antigen plus bcg vaccine mix for percutaneous use,CEA,Vaccine,CEA,1,1,0,0,0,0,0,0,0,0,0,,metastatic
NCT02448173,A Multicenter Study of Active Specific Immunotherapy With OncoVax® in Patients With Stage II Colon Cancer,PHASE3,Phase 3,NOT_YET_RECRUITING,550,Vaccinogen Inc,Vaccinogen,1,1,0,active_comparator,2,surgery,oncovax and surgery;surgery,,,,0,1,0,0,0,0,0,0,0,0,0,,metastatic · squamous
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0,0,0,0,0,,metastatic
NCT02584244,Feasibility of the LUM Imaging System for Detection of Gastrointestinal Cancers,PHASE1;PHASE2,Phase 2,RECRUITING,66,"Lumicell, Inc.",Lumicell,9,1,0,multi_experimental,6,device: lum 2.6 imaging device;lum015,device: lum 2.6 imaging device;lum015,,,,0,1,0,0,0,0,0,0,0,0,0,,neoadjuvant · adenoca.
NCT02628067,Study of Pembrolizumab (MK-3475) in Participants With Advanced Solid Tumors (MK-3475-158/KEYNOTE-158),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1609,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,1,0,0,0,0,1,0,1,MSI-H/dMMR,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT02688712,ExIST Study of LY2157299 (Galunisertib) in Rectal Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,Providence Health & Services,Providence Health & Services,30,0,1,single_arm,1,capecitabine;fluorouracil;ly2157299;tumor specific mesorectal excision,capecitabine;fluorouracil;ly2157299;tumor specific mesorectal excision,TGFBR1,Small Molecule,,0,1,0,0,0,0,0,0,0,0,0,,stage IV · adenoca.
NCT02758951,Perioperative Systemic Therapy for Isolated Resectable Colorectal Peritoneal Metastases,PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,358,Koen Rovers,Koen Rovers,1,0,1,active_comparator,2,control arm;crs-hipec,crs-hipec;experimental arm;perioperative capox-bevacizumab;perioperative folfiri-bevacizumab;perioperative folfox-bevacizumab;perioperative systemic therapy,VEGF/VEGFR,Monoclonal Antibody,,1,1,0,0,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT02843191,Consolidation Chemotherapy for Locally Advanced Mid or Low Rectal Cancer After Neoadjuvant Concurrent Chemoradiotherapy,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,358,Kyung Hee University Hospital at Gangdong,Kyung Hee University Hospital at Gangdong,2,0,0,active_comparator,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,,locally advanced · adenoca.
NCT02955940,An Open-Label Study to Enable Continued Treatment Access for Subjects Previously Enrolled in Studies of Ruxolitinib,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,10,Incyte Corporation,Incyte,162,1,0,multi_experimental,3,,capecitabine;regorafenib;ruxolitinib,JAK1,Small Molecule,JAK2,0,1,0,0,0,0,0,0,0,0,0,,
NCT02983578,"Danvatirsen and Durvalumab in Treating Patients With Advanced and Refractory Pancreatic, Non-Small Cell Lung Cancer, and Mismatch Repair Deficient Colorectal Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,39,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,single_arm,1,danvatirsen;durvalumab,danvatirsen;durvalumab,PD-L1,Monoclonal Antibody,EGFR;MMR,1,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT03026140,Neoadjuvant Immune Checkpoint Inhibition and Novel IO Combinations in Early-stage Colon Cancer,PHASE2,Phase 2,RECRUITING,353,The Netherlands Cancer Institute,The Netherlands Cancer Institute,72,0,1,multi_experimental,7,nivolumab,bms-986016;bms-986253;celecoxib;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1;dMMR,1,1,0,1,1,0,0,0,0,0,1,"MSI-H/dMMR, MSS/pMMR",metastatic · adenoca.
NCT03104439,Nivolumab and Ipilimumab and Radiation Therapy in MSS and MSI High Colorectal and Pancreatic Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,84,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,single_arm,1,ipilimumab;nivolumab;radiation therapy,ipilimumab;nivolumab;radiation therapy,PD-1,Monoclonal Antibody,CD30;MSI,1,1,0,0,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT03157128,"A Study of Selpercatinib (LOXO-292) in Participants With Advanced Solid Tumors, RET Fusion-Positive Solid Tumors, and Medullary Thyroid Cancer (LIBRETTO-001)",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,857,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,16,loxo-292,loxo-292,RET,Small Molecule,RET;RET activation,0,1,0,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 0-1
