nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,MSI-H/dMMR,HER2,PD-L1,POLE,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT01068249,Letrozole and RAD001 With Advanced or Recurrent Endometrial Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,42,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,single_arm,1,letrozole;rad001 (everolimus),letrozole;rad001 (everolimus),mTOR,Small Molecule,,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0,0,,metastatic
NCT02491099,A Phase II Evaluation of Afatinib in Patients With Persistent or Recurrent HER2-positive Uterine Serous Carcinoma,PHASE2,Phase 2,RECRUITING,50,Yale University,Yale University,65,0,1,single_arm,1,afatinib,afatinib,EGFR,Small Molecule,ErbB pathway deregulation;HER2,0,1,0,1,0,0,0,0,1,HER2+,recurrent · adenoca. · measurable (RECIST)
NCT02628067,Study of Pembrolizumab (MK-3475) in Participants With Advanced Solid Tumors (MK-3475-158/KEYNOTE-158),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1609,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,1,0,1,0,1,0,1,"MSI-H/dMMR, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT02912572,"Avelumab in Patients With MSS, MSI-H and POLE-mutated Recurrent or Persistent Endometrial Cancer and of Avelumab/Talazoparib and Avelumab/Axitinib in Patients With MSS Recurrent or Persistent Endometrial Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,106,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,multi_experimental,4,avelumab,avelumab;axitinib;talazoparib,PD-L1,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;genomic,1,1,1,0,1,1,0,0,1,"MSI-H/dMMR, PD-L1+, POLEm",metastatic · squamous · measurable (RECIST)
NCT03016338,Study of Niraparib and TSR-042 in Recurrent Endometrial Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,51,"University Health Network, Toronto","University Health Network, Toronto",91,0,0,single_arm,1,niraparib;tsr-042,niraparib;tsr-042,PARP,Small Molecule,BRCA1;BRCA2;HRD;PD-L1,0,1,0,0,1,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,914,Exelixis,Exelixis,52,1,0,multi_experimental,25,,atezolizumab;cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,1,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT03212404,Phase 1 Study of CK-301 (Cosibelimab) as a Single Agent in Subjects With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,272,"Checkpoint Therapeutics, Inc.",Checkpoint Therapeutics,3,1,0,single_arm,1,ck-301 (cosibelimab),ck-301 (cosibelimab),PD-L1,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,1,0,0,0,1,"MSI-H/dMMR, PD-L1+",metastatic · squamous · measurable (RECIST)
NCT03228667,QUILT-3.055: A Study of Combination Immunotherapies in Patients Who Have Previously Received Treatment With Immune Checkpoint Inhibitors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"ImmunityBio, Inc.",ImmunityBio,63,1,0,multi_experimental,6,,n-803 + atezolizumab;n-803 + atezolizumab + pd-l1 t-hank;n-803 + avelumab;n-803 + avelumab + pd-l1 t-hank;n-803 + docetaxel + nivolumab;n-803 + docetaxel + pembrolizumab;n-803 + durvalumab;n-803 + durvalumab + pd-l1 t-hank;n-803 + nivolumab;n-803 + nivolumab + pd-l1 t-hank;n-803 + pembrolizumab;n-803 + pembrolizumab + pd-l1 t-hank,PD-1,Monoclonal Antibody,ALK;BRAF;HER2;KRAS;MET;NTRK;PD-L1;PR;RET;ROS1,1,1,0,1,1,0,0,0,1,"HER2+, PD-L1+",recurrent · measurable (RECIST)
NCT03260023,Phase Ib/II of TG4001 and Avelumab in HPV16 Positive R/M Cancers,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,143,Transgene,Transgene,14,1,1,multi_experimental,2,avelumab,avelumab;tg4001,HPV-16,Oncolytic Virus,HPV-16;PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
