nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HER2,PD-L1_CPS,CLDN18.2,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0,0,,metastatic
NCT02584244,Feasibility of the LUM Imaging System for Detection of Gastrointestinal Cancers,PHASE1;PHASE2,Phase 2,RECRUITING,66,"Lumicell, Inc.",Lumicell,9,1,0,multi_experimental,6,device: lum 2.6 imaging device;lum015,device: lum 2.6 imaging device;lum015,,,,0,1,0,0,0,0,0,0,0,,neoadjuvant · adenoca.
NCT02869217,Study of TBI-1301 (NY-ESO-1 Specific TCR Gene Transduced Autologous T Lymphocytes) in Patients With Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,22,"University Health Network, Toronto","University Health Network, Toronto",91,0,0,multi_experimental,2,cyclophosphamide;fludarabine;tbi-1301,cyclophosphamide;fludarabine;tbi-1301,NY-ESO-1,Cell Therapy,HLA-A*02:01;HLA-A*02:06;MET;NY-ESO-1,1,1,0,0,0,0,0,0,0,,metastatic · ductal · measurable (RECIST)
NCT02962063,"Durvalumab, an Anti-PDLI Antibody, and Tremelimumab, an Anti-CTLA4 Antibody, and Chemoradiation Before Surgery for Esophageal Cancer",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,64,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,carboplatin auc 2/paclitaxel;durvalumab;esophagogastrectomy;external beam radiation (ebrt);tremelimumab,carboplatin auc 2/paclitaxel;durvalumab;esophagogastrectomy;external beam radiation (ebrt);tremelimumab,PD-L1,Monoclonal Antibody,EGFR;HER2;PD-L1,1,1,1,1,0,0,0,0,1,"HER2+, PD-L1+",metastatic · adenoca.
NCT03044613,Nivolumab +/- Relatlimab Prior to Chemoradiation With II/III Gastro/Esophageal Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,32,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,2,carboplatin;nivolumab;paclitaxel;radiation,carboplatin;nivolumab;paclitaxel;radiation;relatlimab,PD-1,Monoclonal Antibody,CD30;MET;PD-L1;PR;biomarker,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · adenoca.
NCT03132922,MAGE-A4ᶜ¹º³²T for Multi-Tumor,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,71,"USWM CT, LLC",USWM CT,8,1,0,multi_experimental,2,,autologous genetically modified mage-a4c1032t cells combined with low dose radiation;autologous genetically modified mage-a4ᶜ¹º³²t cells,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,914,Exelixis,Exelixis,52,1,0,multi_experimental,25,,atezolizumab;cabozantinib,MET,Small Molecule,PD-L1,0,1,0,1,0,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT03174275,"Carboplatin, Nab-Paclitaxel, Durvalumab Before Surgery and Adjuvant Therapy in Head and Neck Squamous Cell Carcinoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,39,UNC Lineberger Comprehensive Cancer Center,UNC Lineberger Comprehensive Cancer Center,85,0,1,multi_experimental,3,carboplatin;durvalumab;nab-paclitaxel;surgical resection,carboplatin;cisplatin;durvalumab;imrt;nab-paclitaxel;surgical resection,PD-L1,Monoclonal Antibody,EGFR;PD-L1,1,1,0,1,0,0,1,0,1,PD-L1+,metastatic · 1st-line · squamous · measurable (RECIST)
NCT03448835,"Neoadjuvant Capecitabine, Oxaliplatin, Docetaxel and Atezolizumab in Resectable Gastric and GE-junction Cancer (PANDA)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,20,The Netherlands Cancer Institute,The Netherlands Cancer Institute,72,0,1,single_arm,1,atezolizumab;capecitabine;docetaxel;oxaliplatin,atezolizumab;capecitabine;docetaxel;oxaliplatin,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT03488667,Perioperative mFOLFOX Plus Pembrolizumab in Gastroesophageal Junction (GEJ) and Stomach Adenocarcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,University of Kansas Medical Center,University of Kansas Medical Center,27,0,1,single_arm,1,adjuvant treatment - mfolfox & pembrolizumab;neoadjuvant treatment - mfolfox6 & pembrolizumab,adjuvant treatment - mfolfox & pembrolizumab;neoadjuvant treatment - mfolfox6 & pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · adenoca.
NCT03526835,A Study of Bispecific Antibody MCLA-158 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,560,Merus B.V.,Merus,8,1,0,multi_experimental,4,,mcla-158;mcla-158 + folfiri;mcla-158 + folfox;mcla-158 + pembrolizumab,EGFR,Monoclonal Antibody,BRAF;HER2;KRAS;PD-L1,1,1,1,1,0,0,1,1,1,"HER2+, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03539822,Cabozantinib Plus Durvalumab With or Without Tremelimumab in Patients With Gastroesophageal Cancer and Other Gastrointestinal Malignancies,PHASE1;PHASE2,Phase 2,RECRUITING,117,Anwaar Saeed,Anwaar Saeed,3,0,1,multi_experimental,4,cabozantinib;durvalumab,cabozantinib;durvalumab;tremelimumab,MET,Small Molecule,MET;MMR;MSI;PD-L1,0,1,0,1,0,0,1,0,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03544736,Safety and Feasibility of Irradiation and Nivolumab in Esophageal Cancer (INEC),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,Oslo University Hospital,Oslo University Hospital,14,0,1,multi_experimental,3,nivolumab;radiotherapy,nivolumab;radiotherapy;surgery,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,0,1,0,0,1,0,1,PD-L1+,metastatic · 1st-line · adenoca. · ECOG 0
NCT03556228,VMD-928 Monotherapy and in Combination With Pembrolizumab to Treat TrkA Overexpression Driven Solid Tumors or Lymphoma,PHASE1;PHASE2,Phase 2,RECRUITING,242,"VM Oncology, LLC",VM Oncology,1,1,0,multi_experimental,2,,vmd-928;vmd-928 tablet and pembrolizumab (,PD-1,,NTRK;PR,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+
