nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,IDH,MGMT,EGFR,1p19q,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT00626990,Phase III Trial of Anaplastic Glioma Without 1p/19q Loss of Heterozygosity (LOH),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,751,European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer - EORTC,38,0,1,active_comparator,4,adjuvant therapy;dna methylation analysis;laboratory biomarker analysis;quality-of-life assessment;radiation therapy;temozolomide,,,Small Molecule,,0,1,1,0,0,1,0,0,1,"IDHm, 1p19q-codel",squamous
NCT01757626,Combination Therapy of Antibody Hu3F8 With Granulocyte- Macrophage Colony Stimulating Factor (GM-CSF) in Patients With Relapsed/Refractory High-Risk Neuroblastoma,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,186,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,multi_experimental,2,hu3f8 with gm-csf,hu3f8 with gm-csf,GD2,Monoclonal Antibody,GD2,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+
NCT01792310,A Phase 1/2A Study of LAM561 in Adult Patients With Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,COMPLETED,54,Laminar Pharmaceuticals,Laminar Pharmaceuticals,4,1,0,multi_experimental,9,lam561,lam561,sphingomyelin synthase,Cell Therapy,,1,1,0,0,0,0,0,1,0,,advanced · 2nd-line+
NCT01837862,A Phase I Study of Mebendazole for the Treatment of Pediatric Gliomas,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,10,Julie Krystal,Julie Krystal,1,0,1,multi_experimental,2,mebendazole,bevacizumab;carboplatin;irinotecan;mebendazole;temozolomide;vincristine,VEGF/VEGFR,Monoclonal Antibody,,1,1,0,0,0,0,0,1,0,,2nd-line+
NCT01878617,A Clinical and Molecular Risk-Directed Therapy for Newly Diagnosed Medulloblastoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,660,St. Jude Children's Research Hospital,St. Jude Children's Research Hospital,44,0,1,multi_experimental,8,aerobic training;cisplatin;craniospinal irradiation with boost to the primary tumor site;cyclophosphamide;neurocognitive remediation;vincristine,aerobic training;cisplatin;craniospinal irradiation with boost to the primary tumor site;cyclophosphamide;gemcitabine;neurocognitive remediation;pemetrexed;vincristine;vismodegib,SMO,Small Molecule,biomarker,0,1,0,0,0,0,0,0,0,,
NCT01906385,"Maximum Tolerated Dose, Safety, and Efficacy of Rhenium Nanoliposomes in Recurrent Glioma (ReSPECT)",PHASE1;PHASE2,Phase 2,RECRUITING,55,Cerenome,Cerenome,5,1,0,single_arm,1,rhenium liposome treatment,rhenium liposome treatment,,Radiopharmaceutical,,0,1,1,0,0,0,0,0,1,IDHm,recurrent
NCT02287428,Personalized NeoAntigen Cancer Vaccine w RT Plus Pembrolizumab for Patients With Newly Diagnosed GBM,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,56,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,multi_experimental,5,personalized neoantigen peptides;poly-iclc;radiation therapy,pembrolizumab;personalized neoantigen peptides;poly-iclc;radiation therapy;temozolomide,PD-1,Monoclonal Antibody,PD-L1;genomic,1,1,1,1,0,0,1,1,1,"IDHm, MGMT",metastatic · 1st-line · squamous
NCT02331498,Phase I/II Study of Pazopanib+ Temozolomide in Patients With Newly Diagnosed Glioblastoma Multiforme,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,51,Centre Antoine Lacassagne,Centre Antoine Lacassagne,5,0,1,single_arm,1,pazopanib,,VEGF/VEGFR,Small Molecule,biomarker;biomarker analysis,0,0,0,0,0,0,0,0,0,,adjuvant · measurable (RECIST)
NCT02374242,Anti-PD 1 Brain Collaboration for Patients With Melanoma Brain Metastases,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,76,Melanoma Institute Australia,Melanoma Institute Australia,10,0,1,active_comparator,3,ipilimumab;nivolumab,,PD-1,Monoclonal Antibody,BRAF;CD30;PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT02559778,Pediatric Precision Laboratory Advanced Neuroblastoma Therapy,PHASE2,Phase 2,RECRUITING,500,Giselle Sholler,Giselle Sholler,11,0,0,active_comparator,2,ceritinib;dasatinib;dfmo;sorafenib;vorinostat,,ALK,Small Molecule,ALK,0,1,0,0,1,0,0,1,1,EGFR+,stage IV · 2nd-line+
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0,0,0,,metastatic
