nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1_CPS,HPV_p16,EGFR,MSI-H/dMMR,first_line,later_line,biomarker_selected
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0,0
NCT01709292,Vemurafenib Neoadjuvant Trial in Locally Advanced Thyroid Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,4,vemurafenib (post surgery) - group a + c,post surgery - group b;vemurafenib (all groups);vemurafenib (post surgery) - group a + c,BRAF,Small Molecule,BRAF;biomarker,0,1,0,0,0,0,0,1,0
NCT02143726,"Sorafenib Tosylate With or Without Everolimus in Treating Patients With Advanced, Radioactive Iodine Refractory Hurthle Cell Thyroid Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,35,Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,29,0,1,active_comparator,2,sorafenib,everolimus;sorafenib,VEGF/VEGFR,Small Molecule,,0,1,0,0,0,0,0,1,0
NCT02270814,"Cisplatin, Nab-Paclitaxel, and Cetuximab (CACTUX) in Patients With Incurable Head and Neck Squamous Cell Carcinoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,74,Washington University School of Medicine,Washington University School of Medicine,178,0,0,single_arm,1,carboplatin;cetuximab;cisplatin;nab-paclitaxel,carboplatin;cetuximab;cisplatin;nab-paclitaxel,EGFR,Monoclonal Antibody,KRAS,1,1,0,0,0,0,0,0,0
NCT02495896,Recombinant EphB4-HSA Fusion Protein With Standard Chemotherapy Regimens in Treating Patients With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,61,University of Southern California,University of Southern California,48,0,0,multi_experimental,3,laboratory biomarker analysis;pharmacological study;recombinant ephb4-hsa fusion protein,cisplatin;docetaxel;gemcitabine hydrochloride;laboratory biomarker analysis;paclitaxel albumin-stabilized nanoparticle formulation;pharmacological study;recombinant ephb4-hsa fusion protein,EphB4,Fusion Protein,,0,1,0,0,0,0,1,0,0
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0,0,0
NCT02628067,Study of Pembrolizumab (MK-3475) in Participants With Advanced Solid Tumors (MK-3475-158/KEYNOTE-158),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1609,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,1,0,0,1,1,0,1
NCT02641093,Phase II Trial of Adjuvant Cisplatin and Radiation With Pembrolizumab in Resected Head and Neck Squamous Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,96,Trisha Wise-Draper,Trisha Wise-Draper,3,0,1,single_arm,1,cisplatin;pembrolizumab;radiation therapy;surgery,cisplatin;pembrolizumab;radiation therapy;surgery,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,0,0,0,0,1
NCT02644369,Study of the Effects of Pembrolizumab in Patients With Advanced Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,100,"University Health Network, Toronto","University Health Network, Toronto",91,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,1,0,0,0,0,0,1
NCT02688608,Pembrolizumab in Anaplastic/Undifferentiated Thyroid Cancer,PHASE2,Phase 2,COMPLETED,6,Saad A Khan,Saad A Khan,2,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,BRAF;MET;PD-L1,1,1,1,0,0,0,0,1,1
NCT02749903,Enzalutamide for Patients With Androgen Receptor Positive Salivary Cancers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,29,0,1,single_arm,1,enzalutamide,,AR,Small Molecule,AR,0,0,0,0,0,0,0,0,0
