nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,AFP,PD-L1,first_line,later_line,biomarker_selected
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0
NCT01840592,Sorafenib Plus Doxorubicin in Patients With Advanced Hepatocellular Carcinoma With Disease Progression on Sorafenib,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,doxorubicin;sorafenib,doxorubicin;sorafenib,VEGF/VEGFR,Small Molecule,,0,1,0,0,0,0,0
NCT02174549,Dose-defining Study of Tirapazamine Combined With Embolization in Liver Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,25,Teclison Ltd.,Teclison,4,1,0,single_arm,1,conventional transarterial embolization (tae);tirapazamine,conventional transarterial embolization (tae);tirapazamine,,,,0,1,0,0,0,0,0
NCT02495896,Recombinant EphB4-HSA Fusion Protein With Standard Chemotherapy Regimens in Treating Patients With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,61,University of Southern California,University of Southern California,48,0,0,multi_experimental,3,laboratory biomarker analysis;pharmacological study;recombinant ephb4-hsa fusion protein,cisplatin;docetaxel;gemcitabine hydrochloride;laboratory biomarker analysis;paclitaxel albumin-stabilized nanoparticle formulation;pharmacological study;recombinant ephb4-hsa fusion protein,EphB4,Fusion Protein,,0,1,0,0,1,0,0
NCT02519348,"A Study of Durvalumab or Tremelimumab Monotherapy, or Durvalumab in Combination With Tremelimumab or Bevacizumab in Advanced Hepatocellular Carcinoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,433,MedImmune LLC,AstraZeneca,780,1,0,multi_experimental,9,,bevacizumab;durvalumab;tremelimumab,CTLA-4,Monoclonal Antibody,,1,1,0,0,0,0,0
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0
NCT02628067,Study of Pembrolizumab (MK-3475) in Participants With Advanced Solid Tumors (MK-3475-158/KEYNOTE-158),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1609,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,1,1,0,1
NCT02632305,"A Study to See the Effects That a New Combination of the Three Drugs, Nab-paclitaxel, Gemcitabine, and Cisplatin Has on Biliary Tract Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,45,AHS Cancer Control Alberta,AHS Cancer Control Alberta,12,0,0,single_arm,1,nab-paclitaxel in combination with gemcitabine + cisplatin,nab-paclitaxel in combination with gemcitabine + cisplatin,Tubulin,Small Molecule,,0,1,0,0,0,1,0
NCT02711553,A Study of Ramucirumab (LY3009806) or Merestinib (LY2801653) in Advanced or Metastatic Biliary Tract Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,309,Eli Lilly and Company,Eli Lilly,535,1,1,placebo_comparator,4,cisplatin;gemcitabine;placebo iv;placebo oral,cisplatin;gemcitabine;merestinib;ramucirumab,VEGF/VEGFR,Monoclonal Antibody,BRAF;KRAS;MSI-H,1,1,0,0,0,0,0
NCT02772003,DNA Vaccine Therapy in Treating Patients With Chronic Hepatitis C Virus Infection,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,33,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,electroporation-mediated plasmid dna vaccine therapy;hcv dna vaccine ino-8000;laboratory biomarker analysis;quality-of-life assessment;rocakinogene sifuplasmid,electroporation-mediated plasmid dna vaccine therapy;hcv dna vaccine ino-8000;laboratory biomarker analysis;quality-of-life assessment;rocakinogene sifuplasmid,HCV,Vaccine,,1,1,1,0,0,0,1
