nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,EGFR_mut,ALK,ROS1,KRAS_G12C,MET,PD-L1,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT00977470,Erlotinib With or Without Hydroxychloroquine in Chemo-Naive Advanced NSCLC and (EGFR) Mutations,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,76,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,multi_experimental,2,erlotinib,erlotinib;hydroxychloroquine,EGFR,Small Molecule,EGFR,0,1,1,0,0,0,0,0,0,0,1,EGFRm,metastatic · squamous · measurable (RECIST)
NCT01064466,Pharmacogenomics ANDA SNP Clinical Study - Etoposide and Single Nucleotide Polymorphisms,PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,600,"Han Xu, M.D., Ph.D., FAPCR, Medical Director,, IRB Chair","Han Xu, M.D., Ph.D., FAPCR, Medical Director,, IRB Chair",3,1,0,multi_experimental,2,,etoposide - study;etoposide - usual,TOP2A,Small Molecule,SNPS,0,1,0,0,0,0,0,0,0,0,0,,small-cell · measurable (RECIST)
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0,0,0,0,,metastatic
NCT01394679,A Phase 3 Study of 99mTC-EC-DG SPECT/CT Versus PET/CT in Lung Cancer,PHASE3,Phase 3,NOT_YET_RECRUITING,154,Cell>Point LLC,Cell>Point,3,1,0,active_comparator,2,18 f fdg followed by pet/ct imaging,(99m tc) ecdg (ethylenedicysteine-deoxyglucose),,Radiopharmaceutical,,0,1,0,0,0,0,0,0,0,0,0,,
NCT01639508,Cabozantinib in Patients With RET Fusion-Positive Advanced Non-Small Cell Lung Cancer and Those With Other Genotypes: ROS1 or NTRK Fusions or Increased MET or AXL Activity,PHASE2,Phase 2,RECRUITING,86,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,single_arm,1,cabozantinib,cabozantinib,MET,Small Molecule,MET;NTRK;PD-L1;RET;ROS1,0,1,0,0,1,0,0,0,0,1,1,ROS1+,metastatic · 2nd-line+ · small-cell · measurable (RECIST)
NCT01933932,Assess Efficacy & Safety of Selumetinib in Combination With Docetaxel in Patients Receiving 2nd Line Treatment for v-Ki-ras2 Kirsten Rat Sarcoma Viral Oncogene Homolog (KRAS) Positive NSCLC,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,510,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,2,docetaxel;pegylated g-csf,docetaxel;pegylated g-csf;selumetinib,MEK,Small Molecule,KRAS,0,1,0,0,0,0,0,0,1,0,0,,metastatic · 1st-line · small-cell
NCT02143466,AZD9291 in Combination With Ascending Doses of Novel Therapeutics,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,344,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,4,,part a - azd9291 in combination with azd6094;part a - azd9291 in combination with continuous selumetinib (asian subjects);part a - azd9291 in combination with continuous selumetinib (non-asian subjects);part a - azd9291 in combination with intermittent selumetinib;part a - azd9291 in combination with medi4736;part b - azd9291 in combination with azd6094;part b - azd9291 in combination with medi4736;part b - azd9291 in combination with selumetinib;part c - azd6094 monotherapy (japan only);part c - azd9291 in combination with azd6094 (japan only);part d - azd9291 in combination with azd6094,EGFR,Small Molecule,EGFR;PR,0,1,1,0,0,0,0,0,0,1,1,EGFRm,advanced · 2nd-line+
NCT02152631,A Study of Abemaciclib (LY2835219) in Participants With Previously Treated KRAS Mutated Lung Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,453,Eli Lilly and Company,Eli Lilly,535,1,1,active_comparator,2,erlotinib,abemaciclib,ER,Small Molecule,ER;HER2;KRAS,0,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · small-cell · measurable (RECIST)
NCT02259621,"Neoadjuvant Nivolumab, or Nivolumab in Combination With Ipilimumab, in Resectable NSCLC",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,39,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,3,nivolumab,carboplatin;ipilimumab;nivolumab;paclitaxel,PD-1,Monoclonal Antibody,CD30;PD-L1;biomarker,1,1,0,0,0,0,0,1,0,0,1,PD-L1+,metastatic · squamous
NCT02264678,Ascending Doses of Ceralasertib in Combination With Chemotherapy and/or Novel Anti Cancer Agents,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,358,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,14,,administation of ceralasertib in combination with durvalumab;administration of ceralasertib;administration of ceralasertib and durvalumab;administration of ceralasertib and olaparib;administration of ceralasertib in combination with azd5305;administration of ceralasertib in combination with carboplatin;administration of ceralasertib in combination with olaparib;administration of ceralasertib monotherapy,ATM,Small Molecule,ATM;ATM deficiency;HER2,0,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca.
NCT02393625,Study of Safety and Efficacy of Ceritinib in Combination With Nivolumab in Patients With ALK-positive Non-small Cell Lung Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,57,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,2,ceritinib (ldk378);nivolumab,ceritinib (ldk378);nivolumab,ALK,Small Molecule,ALK,0,1,0,1,0,0,0,0,0,1,1,ALK+,metastatic · 2nd-line+ · measurable (RECIST)
NCT02411448,A Study of Ramucirumab (LY3009806) in Combination With Erlotinib in Previously Untreated Participants With EGFR Mutation-Positive Metastatic NSCLC (RELAY),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,545,Eli Lilly and Company,Eli Lilly,535,1,1,placebo_comparator,3,erlotinib,erlotinib;gefitinib;osimertinib;ramucirumab,EGFR,Monoclonal Antibody,BRAF;EGFR;KRAS;MSI-H,1,1,1,0,0,0,0,0,1,0,1,EGFRm,metastatic · 1st-line
NCT02414269,Malignant Pleural Disease Treated With Autologous T Cells Genetically Engineered to Target the Cancer-Cell Surface Antigen Mesothelin,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,113,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,multi_experimental,3,,cyclophosphamide;icasp9m28z t cell infusions;pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,0,0,0,0,0,1,0,1,1,PD-L1+,metastatic · 2nd-line+ · small-cell
NCT02422381,MK-3475 and Gemcitabine in Non-Small Cell Lung Cancer (NSCLC),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,16,Providence Health & Services,Providence Health & Services,30,0,1,single_arm,1,gemcitabine;mk-3475,gemcitabine;mk-3475,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,1,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT02453282,Phase III Open Label First Line Therapy Study of MEDI 4736 (Durvalumab) With or Without Tremelimumab Versus SOC in Non Small-Cell Lung Cancer (NSCLC),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1118,AstraZeneca,AstraZeneca,780,1,1,active_comparator,3,gemcitabine + carboplatin;gemcitabine + cisplatin;paclitaxel + carboplatin;pemetrexed + carboplatin;pemetrexed + cisplatin,medi4736 (durvalumab);medi4736 (durvalumab)+tremelimumab;tremelimumab,PD-L1,Monoclonal Antibody,ALK;EGFR;PD-L1,1,1,1,1,0,0,0,1,0,0,1,"EGFRm, ALK+, PD-L1+",metastatic · small-cell
NCT02486718,Study to Assess Safety and Efficacy of Atezolizumab (MPDL3280A) Compared to Best Supportive Care Following Chemotherapy in Patients With Lung Cancer [IMpower010],PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1280,Hoffmann-La Roche,Roche/Genentech,922,1,1,active_comparator,2,cisplatin;docetaxel;gemcitabine;pemetrexed;vinorelbine,atezolizumab;cisplatin;docetaxel;gemcitabine;pemetrexed;vinorelbine,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PD-L1;TMB,1,1,0,0,0,0,0,1,0,0,1,PD-L1+,metastatic · squamous
NCT02495896,Recombinant EphB4-HSA Fusion Protein With Standard Chemotherapy Regimens in Treating Patients With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,61,University of Southern California,University of Southern California,48,0,0,multi_experimental,3,laboratory biomarker analysis;pharmacological study;recombinant ephb4-hsa fusion protein,cisplatin;docetaxel;gemcitabine hydrochloride;laboratory biomarker analysis;paclitaxel albumin-stabilized nanoparticle formulation;pharmacological study;recombinant ephb4-hsa fusion protein,EphB4,Fusion Protein,,0,1,0,0,0,0,0,0,1,0,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
