nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,BRAF,NRAS,PD-L1,first_line,later_line,biomarker_selected
NCT00338377,Lymphodepletion Plus Adoptive Cell Transfer With or Without Dendritic Cell Immunization in Patients With Metastatic Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1230,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,5,,cyclophosphamide;dendritic cell immunization;fludarabine;interleukin-2;intrathecal interleukin-2;intrathecal t-cells;mesna;t-cells,IL-2R,Recombinant Protein,BRAF;CD25;PR,0,1,0,0,0,0,1,0
NCT00539591,Phase II Study Incorporating Pegylated Interferon In the Treatment For Children With High-Risk Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,29,St. Jude Children's Research Hospital,St. Jude Children's Research Hospital,44,0,0,multi_experimental,2,peginterferon alfa-2b;temozolomide,peginterferon alfa-2b;recombinant interferon alfa-2b;temozolomide,,Recombinant Protein,,0,1,0,0,0,0,0,0
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0
NCT01416831,Comparison of High-dose IL-2 and High-dose IL-2 With Radiation Therapy in Patients With Metastatic Melanoma.,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,44,Providence Health & Services,Providence Health & Services,30,0,0,active_comparator,2,high-dose il-2,radiation therapy and high-dose il-2,IL-2,,,0,1,0,0,0,0,0,0
NCT02068586,Sunitinib Malate or Valproic Acid in Preventing Metastasis in Patients With High-Risk Uveal Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,210,Sidney Kimmel Comprehensive Cancer Center at Thomas Jefferson University,Sidney Kimmel Comprehensive Cancer Center at Thomas Jefferson University,46,0,1,active_comparator,4,sunitinib malate + valproic acid,sunitinib;sunitinib malate;valproic acid,VEGF/VEGFR,Small Molecule,,0,1,0,0,0,0,0,0
NCT02332668,A Study of Pembrolizumab (MK-3475) in Pediatric Participants With an Advanced Solid Tumor or Lymphoma (MK-3475-051/KEYNOTE-051),PHASE1;PHASE2,Phase 2,RECRUITING,370,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,6,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,MSI;MSI-H;PD-L1;TMB,1,1,0,0,1,0,1,1
NCT02360579,"Study of Lifileucel (LN-144), Autologous Tumor Infiltrating Lymphocytes, in the Treatment of Patients With Metastatic Melanoma",PHASE2,Phase 2,COMPLETED,220,"Iovance Biotherapeutics, Inc.",Iovance Biotherapeutics,15,1,0,multi_experimental,4,lifileucel,lifileucel,,Cell Therapy,BRAF,1,1,1,0,0,0,0,1
NCT02362594,Study of Pembrolizumab (MK-3475) Versus Placebo After Complete Resection of High-Risk Stage III Melanoma (MK-3475-054/1325-MG/KEYNOTE-054),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1019,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,placebo_comparator,2,,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,0,0,0,1,0,1,1
NCT02374242,Anti-PD 1 Brain Collaboration for Patients With Melanoma Brain Metastases,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,76,Melanoma Institute Australia,Melanoma Institute Australia,10,0,1,active_comparator,3,ipilimumab;nivolumab,,PD-1,Monoclonal Antibody,BRAF;CD30;PD-L1,1,1,0,0,1,0,0,1
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0,0
