nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,BAP1,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT01843374,"Randomized, Double-blind Study Comparing Tremelimumab to Placebo in Subjects With Unresectable Malignant Mesothelioma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,571,MedImmune LLC,AstraZeneca,780,1,0,placebo_comparator,2,,tremelimumab,CTLA-4,Monoclonal Antibody,PD-L1,1,0,1,0,1,0,1,PD-L1+,metastatic · 1st-line · measurable (RECIST)
NCT02414269,Malignant Pleural Disease Treated With Autologous T Cells Genetically Engineered to Target the Cancer-Cell Surface Antigen Mesothelin,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,113,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,multi_experimental,3,,cyclophosphamide;icasp9m28z t cell infusions;pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · small-cell
NCT02628067,Study of Pembrolizumab (MK-3475) in Participants With Advanced Solid Tumors (MK-3475-158/KEYNOTE-158),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1609,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,1,0,1,0,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03212404,Phase 1 Study of CK-301 (Cosibelimab) as a Single Agent in Subjects With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,272,"Checkpoint Therapeutics, Inc.",Checkpoint Therapeutics,3,1,0,single_arm,1,ck-301 (cosibelimab),ck-301 (cosibelimab),PD-L1,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT03284424,Study of Pembrolizumab (MK-3475) in Adults With Recurrent/Metastatic Cutaneous Squamous Cell Carcinoma (cSCC) or Locally Advanced Unresectable cSCC (MK-3475-629/KEYNOTE-629),PHASE2,Phase 2,COMPLETED,159,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT03556228,VMD-928 Monotherapy and in Combination With Pembrolizumab to Treat TrkA Overexpression Driven Solid Tumors or Lymphoma,PHASE1;PHASE2,Phase 2,RECRUITING,242,"VM Oncology, LLC",VM Oncology,1,1,0,multi_experimental,2,,vmd-928;vmd-928 tablet and pembrolizumab (,PD-1,,NTRK;PR,0,1,0,0,0,1,0,,metastatic · 2nd-line+
NCT03907852,Phase 1/2 Trial of Gavo-cel (TC-210) in Patients With Advanced Mesothelin-Expressing Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,57,TCR2 Therapeutics,TCR2 Therapeutics,3,1,1,multi_experimental,3,cyclophosphamide;fludarabine;gavo-cel,cyclophosphamide;fludarabine;gavo-cel;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,,metastatic · adenoca.
NCT03917043,APG-2449 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,165,Ascentage Pharma Group Inc.,Ascentage Pharma,45,1,0,single_arm,1,apg-2449,apg-2449,ALK,Small Molecule,ALK;ROS1,0,1,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT03918252,Neoadjuvant Immune Checkpoint Blockade in Resectable Malignant Pleural Mesothelioma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,2,nivolumab injection,ipilimumab injection;nivolumab injection,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,1,0,0,0,1,PD-L1+,unresectable
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,1,0,1,0,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04104776,A Study of Tulmimetostat DZR123 (CPI-0209) in Patients With Advanced Solid Tumors and Lymphomas,PHASE1;PHASE2,Phase 2,RECRUITING,300,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,10,tulmimetostat,enzalutamide;tulmimetostat,EZH2,Small Molecule,AR;ARID1A;KDM4A;biomarker,0,1,0,1,0,1,1,BAP1,metastatic · 2nd-line+ · measurable (RECIST)
NCT04162015,A Study of Nivolumab and Chemotherapy Followed by Surgery for Mesothelioma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,22,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,cisplatin or carboplatin;nivolumab;pemetrexed,cisplatin or carboplatin;nivolumab;pemetrexed,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,,resectable
NCT04300244,Nivolumab and Ipilimumab +/- UV1 Vaccination as Second Line Treatment in Patients With Malignant Mesothelioma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,118,Åslaug Helland,Åslaug Helland,1,0,1,active_comparator,2,ipilimumab;nivolumab,ipilimumab;nivolumab;uv1 vaccine + leukine,TERT,Vaccine,PD-L1,1,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT04515836,Olaparib in Patients With HRD Malignant Mesothelioma,PHASE2,Phase 2,RECRUITING,56,University of Chicago,University of Chicago,47,0,1,single_arm,1,olaparib,olaparib,PARP,Small Molecule,BRCA1;BRCA2;biomarker,0,1,0,1,0,0,1,BAP1,metastatic · ductal · measurable (RECIST)
NCT04577326,Mesothelin-targeted CAR T-cell Therapy in Patients With Mesothelioma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,14,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,single_arm,1,car t cells;cyclophosphamide,car t cells;cyclophosphamide,MSLN,CAR-T,MET;Mesothelin,1,1,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04665206,Study to Evaluate VT3989 in Patients With Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,434,"Vivace Therapeutics, Inc",Vivace Therapeutics,1,1,0,multi_experimental,3,vt3989,nivolumab & ipilimumab;osimertinib;pemetrexed/carboplatin;vt3989,TEAD,Small Molecule,NF2,0,1,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 0-1
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,1,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT04857372,A Phase I Study of IAG933 in Patients With Advanced Mesothelioma and Other Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,137,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,4,iag933,iag933,TEAD,Small Molecule,PD-L1,0,1,1,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,PHASE1;PHASE2,Phase 2,RECRUITING,115,"Medicenna Therapeutics, Inc.",Medicenna Therapeutics,2,1,1,single_arm,1,mdna11;pembrolizumab (keytruda),mdna11;pembrolizumab (keytruda),IL-2,Cell Therapy,MSI-H,1,1,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
