nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,SSTR,Ki-67,first_line,later_line,biomarker_selected
NCT02174549,Dose-defining Study of Tirapazamine Combined With Embolization in Liver Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,25,Teclison Ltd.,Teclison,4,1,0,single_arm,1,conventional transarterial embolization (tae);tirapazamine,conventional transarterial embolization (tae);tirapazamine,,,,0,1,0,0,0,0,0
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0
NCT02628067,Study of Pembrolizumab (MK-3475) in Participants With Advanced Solid Tumors (MK-3475-158/KEYNOTE-158),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1609,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,0,1,0,0
NCT03049189,Efficacy and Safety of 177Lu-edotreotide PRRT in GEP-NET Patients,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,324,ITM Solucin GmbH,ITM Solucin,3,1,0,active_comparator,2,everolimus,177lu-edotreotide prrt;amino-acid solution,SSTR,Radiopharmaceutical,SSTR,0,1,1,0,0,0,1
NCT03284424,Study of Pembrolizumab (MK-3475) in Adults With Recurrent/Metastatic Cutaneous Squamous Cell Carcinoma (cSCC) or Locally Advanced Unresectable cSCC (MK-3475-629/KEYNOTE-629),PHASE2,Phase 2,COMPLETED,159,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,0,0,1,0
NCT03333616,Nivolumab Combined With Ipilimumab for Patients With Advanced Rare Genitourinary Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,100,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,single_arm,1,ipilimumab;nivolumab,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,0,1,0
NCT03600233,Study of CVM-1118 for Patients With Advanced Neuroendocrine Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,34,"TaiRx, Inc.",TaiRx,8,1,0,single_arm,1,cvm-1118,cvm-1118,VM,Small Molecule,,0,1,0,0,0,1,0
NCT03647163,Ph I/II Trial of Systemic VSV-IFNβ-NIS in Combination With Checkpoint Inhibitor Therapy in Patients With Select Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,33,"Vyriad, Inc.",Vyriad,5,1,0,multi_experimental,6,vsv-ifnβ-nis,ipilimumab + nivolumab;pembrolizumab;vsv-ifnβ-nis,PD-1,Monoclonal Antibody,ALK;EGFR;PD-L1,1,1,0,0,1,1,0
NCT03839498,Study of Axitinib (AG-013736) With Evaluation of the VEGF-pathway in Pheochromocytoma/Paraganglioma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,6,Columbia University,Columbia University,40,0,1,single_arm,1,axitinib,axitinib,EGFR,Small Molecule,genomic,0,1,0,0,0,0,0
NCT03891784,"Abemaciclib in Treating Patients With Advanced, Refractory, and Unresectable Digestive System Neuroendocrine Tumors",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,20,University of Washington,University of Washington,74,0,1,single_arm,1,abemaciclib,abemaciclib,ER,Small Molecule,ER;HER2,0,1,0,1,0,0,1
