nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,BRCA/HRD,platinum_status,PD-L1,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT01081951,"Study to Compare the Efficacy and Safety of Olaparib When Given in Combination With Carboplatin and Paclitaxel, Compared With Carboplatin and Paclitaxel in Patients With Advanced Ovarian Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,162,AstraZeneca,AstraZeneca,780,1,1,active_comparator,2,carboplatin;paclitaxel,drug: carboplatin;olaparib;paclitaxel,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0,,
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0,0,,metastatic
NCT01844986,Olaparib Maintenance Monotherapy in Patients With BRCA Mutated Ovarian Cancer Following First Line Platinum Based Chemotherapy.,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,450,AstraZeneca,AstraZeneca,780,1,1,placebo_comparator,2,olaparib,olaparib,PARP,Small Molecule,BRCA1;BRCA2;MET,0,1,1,0,0,1,0,1,BRCA/HRD+,metastatic · 1st-line · adenoca.
NCT01874353,Olaparib Treatment in BRCA Mutated Ovarian Cancer Patients After Complete or Partial Response to Platinum Chemotherapy,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,327,AstraZeneca,AstraZeneca,780,1,1,placebo_comparator,2,placebo to match olaparib,olaparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,1,1,0,0,1,1,"BRCA/HRD+, platinum-status",2nd-line+
NCT02346747,A Trial of Vigil for Participants With Ovarian Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,92,"Gradalis, Inc.",Gradalis,14,1,0,active_comparator,2,vigil,,furin,Vaccine,,1,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT02446600,"Testing the Use of A Single Drug (Olaparib) or the Combination of Two Drugs (Cediranib and Olaparib) Compared to the Usual Chemotherapy for Women With Platinum Sensitive Ovarian, Fallopian Tube, or Primary Peritoneal Cancer",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,579,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,1,active_comparator,3,carboplatin;computed tomography;echocardiography test;gemcitabine;gemcitabine hydrochloride;laboratory biomarker analysis;magnetic resonance imaging;multigated acquisition scan;paclitaxel;pegylated liposomal doxorubicin hydrochloride;quality-of-life assessment,biospecimen collection;cediranib maleate;computed tomography;echocardiography test;laboratory biomarker analysis;magnetic resonance imaging;multigated acquisition scan;olaparib;pharmacological study;quality-of-life assessment,PARP,Small Molecule,BRCA1;BRCA2,0,1,1,1,0,1,0,1,"BRCA/HRD+, platinum-status",metastatic · 1st-line · squamous · measurable (RECIST)
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0,0,,metastatic
NCT02644369,Study of the Effects of Pembrolizumab in Patients With Advanced Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,100,"University Health Network, Toronto","University Health Network, Toronto",91,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,0,0,1,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT02655016,A Study of Niraparib (GSK3985771) Maintenance Treatment in Participants With Advanced Ovarian Cancer Following Response on Front-Line Platinum-Based Chemotherapy,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,733,"Tesaro, Inc.",Tesaro,26,1,0,placebo_comparator,2,,niraparib,PARP,Small Molecule,BRCA1;BRCA2;HRD;PR,0,0,1,0,0,0,0,1,BRCA/HRD+,stage IV
NCT02734004,A Phase I/II Study of MEDI4736 in Combination With Olaparib in Patients With Advanced Solid Tumors.,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,264,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,3,medi4736;olaparib,bevacizumab;medi4736;olaparib,PARP,Small Molecule,BRCA1;BRCA2;ER;HER2;PD-L1;PR,0,1,0,1,1,0,1,1,"platinum-status, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT02869217,Study of TBI-1301 (NY-ESO-1 Specific TCR Gene Transduced Autologous T Lymphocytes) in Patients With Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,22,"University Health Network, Toronto","University Health Network, Toronto",91,0,0,multi_experimental,2,cyclophosphamide;fludarabine;tbi-1301,cyclophosphamide;fludarabine;tbi-1301,NY-ESO-1,Cell Therapy,HLA-A*02:01;HLA-A*02:06;MET;NY-ESO-1,1,1,0,0,0,0,0,0,,metastatic · ductal · measurable (RECIST)
NCT02873962,A Phase II Study Of Nivolumab/ Bevacizumab/Rucaparib,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,72,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,multi_experimental,3,bevacizumab;nivolumab,bevacizumab;nivolumab;rucaparib,VEGF/VEGFR,Monoclonal Antibody,MET;PD-L1,1,1,1,1,1,1,1,1,"BRCA/HRD+, platinum-status, PD-L1+",metastatic · 1st-line · squamous · measurable (RECIST)
NCT03029403,"Phase 2 Study of Pembrolizumab, DPX-Survivac Vaccine and Cyclophosphamide in Advanced Ovarian, Primary Peritoneal or Fallopian Tube Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,47,"University Health Network, Toronto","University Health Network, Toronto",91,0,1,multi_experimental,4,cyclophosphamide;dpx-survivac;pembrolizumab,cyclophosphamide;dpx-survivac;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT03059173,Interest of Myo-inositol Supplementation in Women With Polycystic Ovarian Syndrome,PHASE3,Phase 3,RECRUITING,276,"University Hospital, Lille","University Hospital, Lille",15,0,0,placebo_comparator,2,clomiphene citrate;dietary supplement: placebo,clomiphene citrate;dietary supplement: myo-inositol + levomefolic acid,,,,0,1,0,0,0,0,0,0,,
NCT03132922,MAGE-A4ᶜ¹º³²T for Multi-Tumor,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,71,"USWM CT, LLC",USWM CT,8,1,0,multi_experimental,2,,autologous genetically modified mage-a4c1032t cells combined with low dose radiation;autologous genetically modified mage-a4ᶜ¹º³²t cells,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,914,Exelixis,Exelixis,52,1,0,multi_experimental,25,,atezolizumab;cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,1,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT03319628,First-in-Human Study of XMT-1536 in Cancers Likely to Express NaPi2b,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,523,Mersana Therapeutics,Mersana Therapeutics,9,1,0,multi_experimental,5,upifitamab rilsodotin,upifitamab rilsodotin,SLC34A2,ADC,NAPI2B;PR,1,1,0,1,0,0,0,1,platinum-status,metastatic · measurable (RECIST)
NCT03355976,BrUOG 354 Nivolumab +/- Ipilimumab for Ovarian and Extra-renal Clear Cell Carcinomas,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,Brown University,Brown University,22,0,1,multi_experimental,4,nivolumab,ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,0,0,1,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT03393884,Study of IMNN-001 (Also Known as GEN-1) With NACT for Treatment of Ovarian Cancer (OVATION 2),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,130,Imunon,Imunon,14,1,0,active_comparator,2,carboplatin;paclitaxel,carboplatin;imnn-001;paclitaxel,IL-12,mRNA,,0,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT03402841,Multicentre Study of Olaparib Maintenance Monotherapy in Platinum Sensitive Relapsed Non gBRCAm Ovarian Cancer Patients,PHASE3,Phase 3,COMPLETED,279,AstraZeneca,AstraZeneca,780,1,1,single_arm,1,olaparib,olaparib,PARP,Small Molecule,BRCA1;BRCA2;MET,0,1,1,0,0,0,1,1,BRCA/HRD+,metastatic · 2nd-line+ · ductal
NCT03449108,"LN-145 or LN-145-S1 in Treating Patients With Relapsed or Refractory Ovarian Cancer, Triple Negative Breast Cancer (TNBC), Anaplastic Thyroid Cancer, Osteosarcoma, or Other Bone and Soft Tissue Sarcomas",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,2,aldesleukin;autologous tumor infiltrating lymphocytes ln-145;cyclophosphamide;fludarabine;quality-of-life assessment;questionnaire administration,aldesleukin;autologous tumor infiltrating lymphocytes ln-145;autologous tumor infiltrating lymphocytes ln-145-s1;cyclophosphamide;fludarabine;ipilimumab;nivolumab;quality-of-life assessment;questionnaire administration,,Cell Therapy,ER;HER2;PR,1,1,0,1,0,1,1,1,platinum-status,metastatic · 1st-line · squamous · measurable (RECIST) · ECOG 0
NCT03458221,Signal TrAnsduction Pathway Activity Analysis in OVarian cancER,PHASE2;PHASE3,Phase 3,RECRUITING,148,Gynaecologisch Oncologisch Centrum Zuid,Gynaecologisch Oncologisch Centrum Zuid,1,0,0,multi_experimental,4,,bicalutamide oral product;everolimus oral product;itraconazole oral product;letrozole oral product,AR,Cell Therapy,,1,1,0,1,0,0,0,1,platinum-status,recurrent · measurable (RECIST)
NCT03480776,ASA in Prevention of Ovarian Cancer (STICs and STONEs),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,117,Canadian Cancer Trials Group,Canadian Cancer Trials Group,48,0,0,active_comparator,2,acetylsalicylic acid,,,,,0,0,0,0,0,0,0,0,,
NCT03519230,Maintenance Treatment With BGB-290 Versus Placebo in Participants With Platinum-sensitive Recurrent Ovarian Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,224,BeiGene,BeiGene/BeOne,149,1,1,placebo_comparator,2,placebo capsule,pamiparib capsule,PARP,Small Molecule,BRCA;PR,0,1,0,0,0,0,0,0,,measurable (RECIST)
NCT03522246,A Study in Ovarian Cancer Patients Evaluating Rucaparib and Nivolumab as Maintenance Treatment Following Response to Front-Line Platinum-Based Chemotherapy,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1097,pharmaand GmbH,pharmaand,21,1,1,placebo_comparator,5,placebo iv infusion;placebo oral tablet,nivolumab;placebo iv infusion;placebo oral tablet;rucaparib,PARP,Small Molecule,BRCA1;BRCA2;HRD,0,1,0,0,0,1,0,0,,metastatic · 1st-line
NCT03534453,Olaparib Tablets Maintenance Monotherapy Ovarian Cancer Patients After Complete or Partial Response to Platinum Chemotherapy,PHASE3,Phase 3,COMPLETED,229,AstraZeneca,AstraZeneca,780,1,1,single_arm,1,olaparib,olaparib,PARP,Small Molecule,BRCA1;BRCA2;MET,0,1,1,1,0,0,1,1,"BRCA/HRD+, platinum-status",metastatic · 2nd-line+ · ductal · measurable (RECIST)
NCT03564340,Study of REGN4018 (Ubamatamab) Administered Alone or in Combination With Cemiplimab in Adult Patients With Recurrent Ovarian Cancer or Other Recurrent Mucin-16 Expressing (MUC16+) Cancers,PHASE1;PHASE2,Phase 2,RECRUITING,890,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,2,ubamatamab,cemiplimab;sarilumab;tocilizumab;ubamatamab,MUC16,Bispecific Antibody,MUC16;PD-L1,1,1,0,1,1,0,0,1,"platinum-status, PD-L1+",metastatic
NCT03602859,A Comparison of Platinum-based Therapy With TSR-042 and Niraparib Versus Standard of Care (SOC) Platinum-based Therapy as First-line Treatment of Stage III or IV Nonmucinous Epithelial Ovarian Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1400,"Tesaro, Inc.",Tesaro,26,1,0,active_comparator,3,dostarlimab-placebo;niraparib;standard of care,dostarlimab (tsr-042);niraparib;standard of care,PARP,Small Molecule,BRCA1;BRCA2;HRD;PD-L1,0,1,1,0,1,0,0,1,"BRCA/HRD+, PD-L1+",metastatic · ductal · ECOG 0
NCT03651206,Recurrent Ovarian CarcinoSarcoma Anti-pd-1 Niraparib,PHASE2;PHASE3,Phase 3,RECRUITING,138,ARCAGY/ GINECO GROUP,ARCAGY/ GINECO GROUP,16,0,0,active_comparator,3,chemotherapy drugs,niraparib;niraparib + tsr-042 (dostarlimab),PARP,Small Molecule,BRCA1;BRCA2;HRD,0,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03732950,Pembrolizumab in Treating Participants With Recurrent Ovarian Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,5,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT03734692,Systemic Immune Checkpoint Blockade and Intraperitoneal Chemo-Immunotherapy in Recurrent Ovarian Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,Robert Edwards,Robert Edwards,1,0,1,single_arm,1,cisplatin;pembrolizumab;rintatolimod,cisplatin;pembrolizumab;rintatolimod,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,1,0,1,1,"platinum-status, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03737643,"Durvalumab Treatment in Combination With Chemotherapy and Bevacizumab, Followed by Maintenance Durvalumab, Bevacizumab and Olaparib Treatment in Advanced Ovarian Cancer Patients",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1407,AstraZeneca,AstraZeneca,780,1,1,active_comparator,4,bevacizumab;carboplatin+paclitaxel;durvalumab placebo;placebo olaparib,bevacizumab;carboplatin+paclitaxel;durvalumab;olaparib;placebo olaparib,VEGF/VEGFR,Monoclonal Antibody,,1,1,1,0,0,0,0,1,BRCA/HRD+,metastatic
NCT03836352,"Study of an Immunotherapeutic, DPX-Survivac, in Combination With Low Dose Cyclophosphamide & Pembrolizumab, in Subjects With Selected Advanced & Recurrent Solid Tumors",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,"ImmunoVaccine Technologies, Inc. (IMV Inc.)","ImmunoVaccine Technologies, Inc. (IMV Inc.)",8,1,1,multi_experimental,2,dpx-survivac;pembrolizumab,cyclophosphamide;dpx-survivac;pembrolizumab,PD-1,Monoclonal Antibody,ALK;EGFR;MSI;PD-L1,1,1,0,0,1,1,0,1,PD-L1+,metastatic · 1st-line · small-cell · measurable (RECIST) · ECOG 0-1
NCT03854110,"A Trial to Evaluate Safety, Tolerability, and Preliminary Efficacy of Misetionamide (GP-2250) as Monotherapy or in Combination With Gemcitabine",PHASE1,Phase 1,RECRUITING,80,Persevere Therapeutics Inc.,Persevere Therapeutics,1,1,0,single_arm,1,misetionamide (also known as gp-2250),misetionamide (also known as gp-2250),,,PR;companion diagnostic,0,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · ductal · measurable (RECIST)
NCT03860272,Fc-Engineered Anti-CTLA-4 Monoclonal Antibody in Advanced Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,499,Agenus Inc.,Agenus,27,1,0,multi_experimental,3,botensilimab,balstilimab;botensilimab,PD-1,Monoclonal Antibody,PD-L1;genomic,1,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT03872947,A Study of TRK-950 in Combinations With Anti-Cancer Treatment Regimens in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,138,"Toray Industries, Inc",Toray Industries,4,1,0,multi_experimental,15,trk-950,bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;imiquimod cream;irinotecan;leucovorin;nivolumab;paclitaxel;pembrolizumab;pld;ramucirumab;trk-950,PD-1,Monoclonal Antibody,CAPRIN-1;PR,1,1,0,1,0,0,1,1,platinum-status,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03875820,Phase I Trial of Defactinib and VS-6766.,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,87,"Institute of Cancer Research, United Kingdom","Institute of Cancer Research, United Kingdom",24,0,0,multi_experimental,8,defactinib;vs-6766,defactinib;vs-6766,BRAF,Small Molecule,BRAF;KRAS,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · small-cell · measurable (RECIST)
NCT03878849,"Investigation of the Anti-tumor Effect of 2X-121 in Patients With Recurrent, Advanced Ovarian Cancer",PHASE2,Phase 2,RECRUITING,40,Allarity Therapeutics,Allarity Therapeutics,7,1,0,multi_experimental,2,2x-121,2x-121,PARP,Small Molecule,DRP®,0,1,1,1,0,0,1,1,"BRCA/HRD+, platinum-status",metastatic · 2nd-line+ · measurable (RECIST) · ECOG 1
NCT03907527,"Modified Immune Cells (Autologous CAR T Cells) in Treating Patients with Advanced, Recurrent Platinum Resistant Ovarian, Fallopian Tube or Primary Peritoneal Cancer",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,71,"Precigen, Inc",Precigen,4,1,0,multi_experimental,2,prgn-3005 ultracar-t cells,prgn-3005 ultracar-t cells,MUC16,CAR-T,GD2,1,1,1,1,0,0,0,1,"BRCA/HRD+, platinum-status",metastatic · squamous · measurable (RECIST)
NCT03907852,Phase 1/2 Trial of Gavo-cel (TC-210) in Patients With Advanced Mesothelin-Expressing Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,57,TCR2 Therapeutics,TCR2 Therapeutics,3,1,1,multi_experimental,3,cyclophosphamide;fludarabine;gavo-cel,cyclophosphamide;fludarabine;gavo-cel;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT03917043,APG-2449 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,165,Ascentage Pharma Group Inc.,Ascentage Pharma,45,1,0,single_arm,1,apg-2449,apg-2449,ALK,Small Molecule,ALK;ROS1,0,1,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT03949283,Cancer Stem Cell Assay Directed Chemotherapy in Recurrent Platinum Resistant Ovarian Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,150,"Cordgenics, LLC",Cordgenics,3,1,0,active_comparator,2,diagnostic test: chemoid assay;standard,diagnostic test: chemoid assay,,,,0,1,0,1,0,0,0,1,platinum-status,metastatic · adenoca. · measurable (RECIST)
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,0,0,1,1,0,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04044859,ADP-A2M4CD8 as Monotherapy or in Combination With Either Nivolumab or Pembrolizumab in HLA-A2+ Subjects With MAGE-A4 Positive Tumors (SURPASS),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,"USWM CT, LLC",USWM CT,8,1,0,single_arm,1,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04104776,A Study of Tulmimetostat DZR123 (CPI-0209) in Patients With Advanced Solid Tumors and Lymphomas,PHASE1;PHASE2,Phase 2,RECRUITING,300,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,10,tulmimetostat,enzalutamide;tulmimetostat,EZH2,Small Molecule,AR;ARID1A;KDM4A;biomarker,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04111978,MAintenance Therapy With Aromatase Inhibitor in Epithelial Ovarian Cancer (MATAO),PHASE3,Phase 3,RECRUITING,540,Swiss GO Trial Group,Swiss GO Trial Group,1,0,1,placebo_comparator,2,,letrozole 2.,CYP19A1,Small Molecule,ER;PR,0,0,0,0,0,0,0,0,,neoadjuvant
