nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,BRCA/HRD,KRAS,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT01954992,Glufosfamide Versus 5-FU in Second Line Metastatic Pancreatic Cancer,PHASE3,Phase 3,RECRUITING,480,Eleison Pharmaceuticals LLC.,Eleison Pharmaceuticals,4,1,0,active_comparator,2,fluorouracil,glufosfamide,,,,0,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT02340117,Study of Combined SGT-53 Plus Gemcitabine/Nab-Paclitaxel for Metastatic Pancreatic Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,28,"SynerGene Therapeutics, Inc.",SynerGene Therapeutics,6,1,0,single_arm,1,gemcitabine;nab-paclitaxel;sgt-53,gemcitabine;nab-paclitaxel;sgt-53,Tubulin,Small Molecule,,0,1,0,0,0,1,1,0,,metastatic · 1st-line · adenoca.
NCT02451982,Platform Study of Neoadjuvant and Adjuvant Immunotherapy for Patients With Resectable Adenocarcinoma of the Pancreas,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,76,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,4,,bms-986253;cyclophosphamide;gvax pancreatic cancer;nivolumab;urelumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,0,,resectable · adenoca.
NCT02495896,Recombinant EphB4-HSA Fusion Protein With Standard Chemotherapy Regimens in Treating Patients With Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,61,University of Southern California,University of Southern California,48,0,0,multi_experimental,3,laboratory biomarker analysis;pharmacological study;recombinant ephb4-hsa fusion protein,cisplatin;docetaxel;gemcitabine hydrochloride;laboratory biomarker analysis;paclitaxel albumin-stabilized nanoparticle formulation;pharmacological study;recombinant ephb4-hsa fusion protein,EphB4,Fusion Protein,,0,1,0,0,0,1,0,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT02498613,A Phase 2 Study of Cediranib in Combination With Olaparib in Advanced Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,122,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,1,single_arm,1,18f-fluoromisonidazole;cediranib maleate;laboratory biomarker analysis;olaparib;positron emission tomography,18f-fluoromisonidazole;cediranib maleate;laboratory biomarker analysis;olaparib;positron emission tomography,PARP,Small Molecule,ALK;BRCA1;BRCA2;ER;HER2;MET;PD-L1;PR,0,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0,0,,metastatic
NCT02584244,Feasibility of the LUM Imaging System for Detection of Gastrointestinal Cancers,PHASE1;PHASE2,Phase 2,RECRUITING,66,"Lumicell, Inc.",Lumicell,9,1,0,multi_experimental,6,device: lum 2.6 imaging device;lum015,device: lum 2.6 imaging device;lum015,,,,0,1,0,0,0,0,0,0,,neoadjuvant · adenoca.
NCT02843945,Initial Feasibility Study to Treat Borderline Resectable Pancreatic Cancer With a Planar LDR Source,PHASE1;PHASE2,Phase 2,RECRUITING,80,CivaTech Oncology,CivaTech Oncology,5,1,0,single_arm,1,device: directional brachytherapy source implant,device: directional brachytherapy source implant,,Cell Therapy,,1,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT02912949,A Study of Zenocutuzumab (MCLA-128) in Patients With Solid Tumors Harboring an NRG1 Fusion (eNRGy),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,250,"Partner Therapeutics, Inc.",Partner Therapeutics,3,1,0,multi_experimental,3,zenocutuzumab (mcla-128),zenocutuzumab (mcla-128),HER2,Bispecific Antibody,NRG1,1,1,0,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 0
NCT02955940,An Open-Label Study to Enable Continued Treatment Access for Subjects Previously Enrolled in Studies of Ruxolitinib,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,10,Incyte Corporation,Incyte,162,1,0,multi_experimental,3,,capecitabine;regorafenib;ruxolitinib,JAK1,Small Molecule,JAK2,0,1,0,0,0,0,0,0,,
NCT02983578,"Danvatirsen and Durvalumab in Treating Patients With Advanced and Refractory Pancreatic, Non-Small Cell Lung Cancer, and Mismatch Repair Deficient Colorectal Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,39,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,single_arm,1,danvatirsen;durvalumab,danvatirsen;durvalumab,PD-L1,Monoclonal Antibody,EGFR;MMR,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT03104439,Nivolumab and Ipilimumab and Radiation Therapy in MSS and MSI High Colorectal and Pancreatic Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,84,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,single_arm,1,ipilimumab;nivolumab;radiation therapy,ipilimumab;nivolumab;radiation therapy,PD-1,Monoclonal Antibody,CD30;MSI,1,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT03175224,APL-101 Study of Subjects With NSCLC With c-Met EXON 14 Skip Mutations and c-Met Dysregulation Advanced Solid Tumors,PHASE2,Phase 2,RECRUITING,497,Apollomics Inc.,Apollomics,4,1,0,multi_experimental,9,apl-101 oral capsules,apl-101 oral capsules,MET,Small Molecule,ALK;BRAF;KRAS;MET;NTRK;PR;RET;ROS1;c-MET Dysregulation,0,1,0,1,0,1,1,1,KRASm,metastatic · 1st-line · measurable (RECIST)
NCT03245541,Radiation Therapy in Combination With Durvalumab for People With Pancreatic Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,18,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,durvalumab;stereotactic ablative body radiotherapy (sabr),durvalumab;stereotactic ablative body radiotherapy (sabr),PD-L1,Monoclonal Antibody,EGFR;MET;PD-L1,1,1,0,0,0,0,0,0,,metastatic · adenoca. · ECOG 0
NCT03252808,Phase I Study of TBI-1401(HF10) Plus Chemotherapy in Patients with Unresectable Pancreatic Cancer.,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,36,Takara Bio Inc.,Takara Bio,8,1,0,multi_experimental,3,tbi-1401(hf10),gemcitabine;nab-paclitaxel;s-1;tbi-1401(hf10),HSV-1,Oncolytic Virus,,1,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
