nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,AR,BRCA/HRR,PSMA,MSI-H/dMMR,first_line,later_line,biomarker_selected
NCT00223145,Study on the Role of Hormonal Treatment for Two Dosage Levels of Prostate Radiation Therapy Versus Prostate Radiation Therapy Alone,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,600,Abdenour Nabid,Abdenour Nabid,1,0,1,active_comparator,3,radiotherapy 76 gy,androgen blockade;radiotherapy 70 gy;radiotherapy 76 gy,AR,Small Molecule,PSA,0,1,0,0,0,0,0,0,0
NCT00223171,Duration of Androgen Blockade Combined With Pelvic Irradiation in Prostate Cancers,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,630,Université de Sherbrooke,Université de Sherbrooke,1,0,1,active_comparator,2,androgen blockade + radiation therapy,androgen blockade + radiation therapy,,,,0,1,0,0,0,0,0,0,0
NCT00329043,Sunitinib Malate With Hormonal Ablation for Patients Who Will Have Prostatectomy,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,64,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,single_arm,1,lhrh agonist;radical prostatectomy;sunitinib malate,lhrh agonist;radical prostatectomy;sunitinib malate,LHRH,Peptide,,0,1,0,0,0,0,0,0,0
NCT01436968,Phase 3 Study of ProstAtak® Immunotherapy With Standard Radiation Therapy for Localized Prostate Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,711,"Candel Therapeutics, Inc.",Candel Therapeutics,12,1,0,placebo_comparator,2,placebo + valacyclovir,aglatimagene besadenovec + valacyclovir,HSV-1,Oncolytic Virus,,1,1,0,0,0,0,0,0,0
NCT01688492,Combining Ipilimumab With Abiraterone Acetate Plus Prednisone in Chemotherapy and Immunotherapy-naïve Patients With Progressive Metastatic Castration-resistant Prostate Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,54,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,ipilimumab,ipilimumab,CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0
NCT01946204,A Study of Apalutamide (ARN-509) in Men With Non-Metastatic Castration-Resistant Prostate Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1207,"Aragon Pharmaceuticals, Inc.",Aragon Pharmaceuticals,10,1,0,placebo_comparator,2,,apalutamide,AR,Small Molecule,PSA,0,0,0,0,0,0,0,0,0
NCT01952223,A Phase III of Cabazitaxel and Pelvic Radiotherapy in Localized Prostate Cancer and High-risk Features of Relapse,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,761,UNICANCER,UNICANCER,64,0,1,active_comparator,4,prostate radiotherapy,cabazitaxel;pelvic radiotherapy;prostate radiotherapy,TUBB3,Small Molecule,,0,1,0,0,0,0,0,0,0
NCT01957436,A Phase III Study for Patients With Metastatic Hormone-naïve Prostate Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1173,UNICANCER,UNICANCER,64,0,1,active_comparator,4,androgen deprivation therapy;docetaxel,abiraterone acetate;androgen deprivation therapy;docetaxel;radiotherapy,CYP17A1,Small Molecule,ALK,0,1,0,0,0,0,0,1,0
NCT01990196,Neoadjuvant Phase 2 Study Comparing the Effects of AR Inhibition With/Without SRC or MEK Inhibition in Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,45,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,active_comparator,3,dasatinib;degarelix;enzalutamide;trametinib,,MEK,Small Molecule,BRAF,0,1,0,0,0,0,0,1,0
NCT02023463,"Enzalutamide, Radiation Therapy and Hormone Therapy in Treating Patients With Intermediate or High-Risk Prostate Cancer",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,25,Thomas Jefferson University,Thomas Jefferson University,22,0,1,single_arm,1,enzalutamide;goserelin acetate;leuprolide acetate;radiation therapy,enzalutamide;goserelin acetate;leuprolide acetate;radiation therapy,AR,Small Molecule,,0,1,0,0,0,0,0,0,0
NCT02123758,A Study of JNJ-56021927 (ARN-509) and Abiraterone Acetate in Participants With Metastatic Castration-Resistant Prostate Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,57,"Aragon Pharmaceuticals, Inc.",Aragon Pharmaceuticals,10,1,0,multi_experimental,2,abiraterone acetate;jnj-56021927,abiraterone acetate;jnj-56021927,AR,Small Molecule,,0,1,0,0,0,0,0,0,0
