nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,sarcomatoid,first_line,later_line,biomarker_selected
NCT00715442,Pre-Surgical Sutent in Renal Cell Carcinoma (RCC),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,single_arm,1,nephrectomy;sunitinib,nephrectomy;sunitinib,VEGF/VEGFR,Small Molecule,,0,1,0,0,0,0,0
NCT01217931,Sequential Two-agent Assessment in Renal Cell Carcinoma Therapy: The START Trial,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,180,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,6,,bevacizumab;everolimus;pazopanib,VEGF/VEGFR,Small Molecule,,0,1,0,0,0,1,0
NCT01366144,"Veliparib, Paclitaxel, and Carboplatin in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed by Surgery and Liver or Kidney Dysfunction",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,94,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,0,single_arm,1,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,carboplatin;laboratory biomarker analysis;paclitaxel;pharmacological study;veliparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0
NCT01684397,Pazopanib Hydrochloride and Bevacizumab in Treating Patients With Previously Untreated Metastatic Kidney Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,51,Roswell Park Cancer Institute,Roswell Park Cancer Institute,73,0,1,single_arm,1,bevacizumab;laboratory biomarker analysis;pazopanib hydrochloride;pharmacological study,bevacizumab;laboratory biomarker analysis;pazopanib hydrochloride;pharmacological study,VEGF/VEGFR,Monoclonal Antibody,,1,1,0,0,0,0,0
NCT02293980,"A Phase 1, Dose-Escalation Trial of PT2385 Tablets In Patients With Advanced Clear Cell Renal Cell Carcinoma (MK-3795-001)",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,110,"Peloton Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Merck (MSD),649,1,1,multi_experimental,3,mk-3795,bezlutifan;cabozantinib;mk-3795;nivolumab,HIF-2α,Small Molecule,,0,1,0,0,0,0,0
NCT02306954,Study of High Dose Interleukin-2 (IL-2) and Stereotactic Body Radiation (SBRT) in Patients With Metastatic Renal Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,84,Providence Health & Services,Providence Health & Services,30,0,0,active_comparator,2,high dose il-2,high dose il-2;sbrt,IL-2,,,0,1,0,0,0,0,0
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0
NCT02811861,Lenvatinib/Everolimus or Lenvatinib/Pembrolizumab Versus Sunitinib Alone as Treatment of Advanced Renal Cell Carcinoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1069,Eisai Inc.,Eisai,177,1,1,active_comparator,3,sunitinib,everolimus;lenvatinib;pembrolizumab,VEGF/VEGFR,Small Molecule,MET;PD-L1,0,1,0,0,0,0,0
NCT02950766,NeoVax Plus Ipilimumab in Renal Cell Carcinoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,19,"Patrick Ott, MD, PhD","Patrick Ott, MD, PhD",1,0,1,multi_experimental,2,neovax,ipilimumab;neovax,CTLA-4,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,1
NCT02974738,"A Trial of Belzutifan (PT2977, MK-6482) Tablets In Patients With Advanced Solid Tumors (MK-6482-001)",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,"Peloton Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Merck (MSD),649,1,1,multi_experimental,4,belzutifan,belzutifan,HIF-2α,Small Molecule,HIF-2α;VHL,0,1,0,0,0,1,0
NCT03091192,Savolitinib vs. Sunitinib in MET-driven PRCC.,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,60,AstraZeneca,AstraZeneca,780,1,1,active_comparator,2,sunitinib,savolitinib,MET,Small Molecule,EGFR;MET,0,1,0,0,1,1,0
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,914,Exelixis,Exelixis,52,1,0,multi_experimental,25,,atezolizumab;cabozantinib,MET,Small Molecule,PD-L1,0,1,1,0,0,0,1
NCT03175224,APL-101 Study of Subjects With NSCLC With c-Met EXON 14 Skip Mutations and c-Met Dysregulation Advanced Solid Tumors,PHASE2,Phase 2,RECRUITING,497,Apollomics Inc.,Apollomics,4,1,0,multi_experimental,9,apl-101 oral capsules,apl-101 oral capsules,MET,Small Molecule,ALK;BRAF;KRAS;MET;NTRK;PR;RET;ROS1;c-MET Dysregulation,0,1,0,0,1,1,0
NCT03203473,Study of Optimized Management of Nivolumab Based on Response in Patients With Advanced RCC (OMNIVORE Study),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,85,"Toni Choueiri, MD","Toni Choueiri, MD",1,0,1,multi_experimental,3,nivolumab,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0
NCT03212404,Phase 1 Study of CK-301 (Cosibelimab) as a Single Agent in Subjects With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,272,"Checkpoint Therapeutics, Inc.",Checkpoint Therapeutics,3,1,0,single_arm,1,ck-301 (cosibelimab),ck-301 (cosibelimab),PD-L1,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,0,0,1
NCT03228667,QUILT-3.055: A Study of Combination Immunotherapies in Patients Who Have Previously Received Treatment With Immune Checkpoint Inhibitors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"ImmunityBio, Inc.",ImmunityBio,63,1,0,multi_experimental,6,,n-803 + atezolizumab;n-803 + atezolizumab + pd-l1 t-hank;n-803 + avelumab;n-803 + avelumab + pd-l1 t-hank;n-803 + docetaxel + nivolumab;n-803 + docetaxel + pembrolizumab;n-803 + durvalumab;n-803 + durvalumab + pd-l1 t-hank;n-803 + nivolumab;n-803 + nivolumab + pd-l1 t-hank;n-803 + pembrolizumab;n-803 + pembrolizumab + pd-l1 t-hank,PD-1,Monoclonal Antibody,ALK;BRAF;HER2;KRAS;MET;NTRK;PD-L1;PR;RET;ROS1,1,1,1,0,0,0,1
NCT03288532,Renal Adjuvant MultiPle Arm Randomised Trial,PHASE3,Phase 3,RECRUITING,1750,"University College, London","University College, London",51,0,1,multi_experimental,3,durvalumab,durvalumab;tremelimumab,PD-L1,Monoclonal Antibody,EGFR,1,1,0,0,0,0,0
NCT03308396,Study of Durvalumab and Guadecitabine in Advanced Kidney Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,57,"Ajjai Alva, MD","Ajjai Alva, MD",2,0,1,single_arm,1,durvalumab;guadecitabine,durvalumab;guadecitabine,PD-L1,Monoclonal Antibody,EGFR;MET;PD-L1,1,1,1,0,0,0,1
NCT03355976,BrUOG 354 Nivolumab +/- Ipilimumab for Ovarian and Extra-renal Clear Cell Carcinomas,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,Brown University,Brown University,22,0,1,multi_experimental,4,nivolumab,ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,1,0,0,0,1
NCT03401788,"A Phase 2 Study of Belzutifan (PT2977, MK-6482) for the Treatment of Von Hippel Lindau (VHL) Disease-Associated Renal Cell Carcinoma (RCC) (MK-6482-004)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,"Peloton Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Merck (MSD),649,1,1,single_arm,1,belzutifan,belzutifan,HIF-2α,Small Molecule,HIF-2α;VHL,0,1,0,0,0,0,0
NCT03474497,"UCDCC#272: IL-2, Radiotherapy, and Pembrolizumab in Patients Refractory to Checkpoint Blockade",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,18,"Megan Daly, MD","Megan Daly, MD",5,0,1,single_arm,1,il-2;pembrolizumab;radiotherapy,il-2;pembrolizumab;radiotherapy,CD19,Cell Therapy,CD19;PD-L1,1,1,1,0,0,1,1
NCT03501381,High Dose IL 2 and Entinostat in RCC,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,Roberto Pili,Roberto Pili,3,0,0,active_comparator,2,interleukin-2,entinostat;interleukin-2,IL-2R,Recombinant Protein,CD25,0,1,0,0,0,0,0
NCT03541902,Cabozantinib or Sunitinib Malate in Treating Participants With Metastatic Variant Histology Renal Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,32,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,2,,cabozantinib;sunitinib malate,MET,Small Molecule,PD-L1,0,1,0,0,1,0,0
NCT03589339,NBTXR3 Activated by Radiotherapy for Patients With Advanced Cancers Treated With An Anti-PD-1 Therapy,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,145,Nanobiotix,Nanobiotix,6,1,0,single_arm,1,nbtxr3;nivolumab;pembrolizumab;sabr,nbtxr3;nivolumab;pembrolizumab;sabr,PD-1,Radiopharmaceutical,,0,1,0,0,0,0,0
NCT03592472,A Study of Pazopanib With or Without Abexinostat in Patients With Locally Advanced or Metastatic Renal Cell Carcinoma (RENAVIV),PHASE3,Phase 3,RECRUITING,413,"Xynomic Pharmaceuticals, Inc.",Xynomic Pharmaceuticals,6,1,0,placebo_comparator,2,pazopanib,abexinostat;pazopanib,VEGF/VEGFR,Small Molecule,,0,1,0,0,0,0,0
NCT03634540,"A Trial of Belzutifan (PT2977, MK-6482) in Combination With Cabozantinib in Patients With Clear Cell Renal Cell Carcinoma (ccRCC) (MK-6482-003)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,118,"Peloton Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Merck (MSD),649,1,1,multi_experimental,2,belzutifan;cabozantinib,belzutifan;cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,0,0,0
NCT03647163,Ph I/II Trial of Systemic VSV-IFNβ-NIS in Combination With Checkpoint Inhibitor Therapy in Patients With Select Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,33,"Vyriad, Inc.",Vyriad,5,1,0,multi_experimental,6,vsv-ifnβ-nis,ipilimumab + nivolumab;pembrolizumab;vsv-ifnβ-nis,PD-1,Monoclonal Antibody,ALK;EGFR;PD-L1,1,1,1,0,1,1,1
NCT03678883,9-ING-41 in Patients With Advanced Cancers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,Actuate Therapeutics Inc.,Actuate Therapeutics,4,1,0,multi_experimental,8,9-ing-41,9-ing-41;carboplatin.;doxorubicin.;gemcitabine - 21 day cycle;gemcitabine - 28 day cycle;irinotecan;lomustine;nab paclitaxel.;paclitaxel.,GSK3B,Small Molecule,HER2,0,1,0,0,1,1,0
NCT03682289,Ceralasertib (AZD6738) Alone and in Combination With Olaparib or Durvalumab in Patients With Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,83,Rahul Aggarwal,Rahul Aggarwal,7,0,1,multi_experimental,3,ceralasertib,ceralasertib;durvalumab;olaparib,ATM,Small Molecule,BRCA1;BRCA2;HRR;MET;MMR;MSI,0,1,0,0,0,1,0
NCT03786796,Study of Olaparib in Metastatic Renal Cell Carcinoma Patients With DNA Repair Gene Mutations,PHASE2,Phase 2,RECRUITING,20,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,single_arm,1,olaparib,olaparib,PARP,Small Molecule,BRCA1;BRCA2,0,1,0,0,0,0,0
NCT03845166,A Study of XL092 as Single-Agent and Combination Therapy in Subjects With Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,325,Exelixis,Exelixis,52,1,0,multi_experimental,5,xl092,atezolizumab;avelumab;xl092,PD-L1,Small Molecule,BRAF;ER;KRAS;MMR;MSI;MSI-H;PD-L1;PR;biomarker;dMMR,0,1,1,1,0,1,1
NCT03872947,A Study of TRK-950 in Combinations With Anti-Cancer Treatment Regimens in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,138,"Toray Industries, Inc",Toray Industries,4,1,0,multi_experimental,15,trk-950,bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;imiquimod cream;irinotecan;leucovorin;nivolumab;paclitaxel;pembrolizumab;pld;ramucirumab;trk-950,PD-1,Monoclonal Antibody,CAPRIN-1;PR,1,1,0,0,0,1,0
NCT03873402,A Study of Nivolumab Combined With Ipilimumab Versus Nivolumab Alone in Participants With Advanced Kidney Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,437,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,2,,ipilimumab;ipilimumab placebo;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,1,1,0,0,1
