nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,translocation,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT00470223,Combined Chemotherapy With or Without Zoledronic Acid for Patients With Osteosarcoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,318,UNICANCER,UNICANCER,64,0,1,active_comparator,2,cisplatin;conventional surgery;doxorubicin hydrochloride;etoposide;ifosfamide;methotrexate,cisplatin;conventional surgery;doxorubicin hydrochloride;etoposide;ifosfamide;methotrexate;zoledronic acid,Topoisomerase II,Small Molecule,,0,1,0,0,0,0,0,,metastatic · small-cell
NCT01189643,"Irinotecan, Temozolomide and Bevacizumab in Combination With Existing High Dose Alkylator Based Chemotherapy for Treatment of Newly Diagnosed Patients With Desmoplastic Small Round Cell Tumor",EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,15,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,and bevacizumab incorporated into an existing schedule of high dose alkylator;irinotecan;temozolomide,and bevacizumab incorporated into an existing schedule of high dose alkylator;irinotecan;temozolomide,TOP1,Small Molecule,,0,1,0,0,1,0,0,,metastatic · 1st-line
NCT02301039,SARC028: A Phase II Study of the Anti-PD1 Antibody Pembrolizumab (MK-3475) in Patients With Advanced Sarcomas,PHASE2,Phase 2,COMPLETED,144,Sarcoma Alliance for Research through Collaboration,Sarcoma Alliance for Research through Collaboration,11,0,1,multi_experimental,3,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT02523040,Lenalidomide for Adult Histiocyte Disorders,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,12,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,0,single_arm,1,lenalidomide,lenalidomide,IMiD,Small Molecule,Del(5q),0,1,0,0,0,1,0,,2nd-line+
NCT02846987,Study of Abemaciclib in Dedifferentiated Liposarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,33,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,abemaciclib,abemaciclib,ER,Small Molecule,ER;HER2,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT02869217,Study of TBI-1301 (NY-ESO-1 Specific TCR Gene Transduced Autologous T Lymphocytes) in Patients With Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,22,"University Health Network, Toronto","University Health Network, Toronto",91,0,0,multi_experimental,2,cyclophosphamide;fludarabine;tbi-1301,cyclophosphamide;fludarabine;tbi-1301,NY-ESO-1,Cell Therapy,HLA-A*02:01;HLA-A*02:06;MET;NY-ESO-1,1,1,0,0,0,0,0,,metastatic · ductal · measurable (RECIST)
NCT03016819,"Phase III Trial of Anlotinib, Catequentinib in Advanced Alveolar Soft Part Sarcoma, Leiomyosarcoma, Synovial Sarcoma (APROMISS)",PHASE3,Phase 3,RECRUITING,325,"Advenchen Laboratories, LLC",Advenchen Laboratories,5,1,0,active_comparator,7,al3818;dacarbazine;digoxin (0.;midazolam;rosuvastatin,al3818;dacarbazine,VEGF/VEGFR,Small Molecule,,0,1,0,0,1,1,0,,metastatic · 1st-line · measurable (RECIST)
NCT03069378,A Study of Talimogene Laherparepvec (T-VEC) in Combination With Pembrolizumab in Patients With Metastatic and/or Locally Advanced Sarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,41,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,pembrolizumab;talimogene laherparepvec (t-vec),pembrolizumab;talimogene laherparepvec (t-vec),PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,1,0,,metastatic · 1st-line · ECOG 0
NCT03092323,A Randomized Trial of Pembrolizumab & Radiotherapy Versus Radiotherapy in High-Risk Soft Tissue Sarcoma of the Extremity,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,126,Sarcoma Alliance for Research through Collaboration,Sarcoma Alliance for Research through Collaboration,11,0,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,1,PD-L1+,metastatic
NCT03132922,MAGE-A4ᶜ¹º³²T for Multi-Tumor,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,71,"USWM CT, LLC",USWM CT,8,1,0,multi_experimental,2,,autologous genetically modified mage-a4c1032t cells combined with low dose radiation;autologous genetically modified mage-a4ᶜ¹º³²t cells,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03414229,"A Study of Epacadostat, an IDO1 Inhibitor, in Combination With Pembrolizumab in Patients With Metastatic and/or Locally Advanced Sarcoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,4,epacadostat;pembrolizumab,epacadostat;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
NCT03449108,"LN-145 or LN-145-S1 in Treating Patients With Relapsed or Refractory Ovarian Cancer, Triple Negative Breast Cancer (TNBC), Anaplastic Thyroid Cancer, Osteosarcoma, or Other Bone and Soft Tissue Sarcomas",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,2,aldesleukin;autologous tumor infiltrating lymphocytes ln-145;cyclophosphamide;fludarabine;quality-of-life assessment;questionnaire administration,aldesleukin;autologous tumor infiltrating lymphocytes ln-145;autologous tumor infiltrating lymphocytes ln-145-s1;cyclophosphamide;fludarabine;ipilimumab;nivolumab;quality-of-life assessment;questionnaire administration,,Cell Therapy,ER;HER2;PR,1,1,0,1,1,1,1,fusion+,metastatic · 1st-line · squamous · measurable (RECIST) · ECOG 0
NCT03465592,Trial of Nivolumab Following Partially Human Leukocyte Antigen (HLA) Mismatched BMT in Children & Adults With Sarcoma,PHASE1;PHASE2,Phase 2,RECRUITING,39,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,single_arm,1,nivolumab,nivolumab,PD-1,Monoclonal Antibody,CD30;MET,1,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+
NCT03474094,Clinical and Biological Activity of an Anti-PD-L1 (Atezolizumab) in Operable Localised Soft Tissue Sarcomas Patients to be Treated With Radiotherapy,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,62,Centre Leon Berard,Centre Leon Berard,30,0,1,active_comparator,3,pre-operative radiotherapy followed by surgery then 2 cycles of atezolizumab.,2 cycles of atezolizumab followed by surgery then post-operative radiotherapy;pre-operative radiotherapy followed by 2 cycles of atezolizumab then surgery,PD-L1,Monoclonal Antibody,PD-L1,1,1,1,1,0,0,1,"PD-L1+, fusion+",metastatic · squamous · ECOG 0
NCT03478462,Dose Escalation Study of CLR 131 in Pediatric Relapsed/Refractory Malignant Tumors Including Neuroblastoma and Sarcomas,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,30,"Cellectar Biosciences, Inc.",Cellectar Biosciences,11,1,0,single_arm,1,clr 131,clr 131,,Radiopharmaceutical,,0,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+
NCT03548428,Stereotaxic Body Irradiation of Oligometastase in Sarcoma (Stereosarc),PHASE2,Phase 2,RECRUITING,103,Centre Antoine Lacassagne,Centre Antoine Lacassagne,5,0,1,active_comparator,2,sbrt,atezolizumab;sbrt,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PD-L1;TMB,1,1,1,1,0,0,1,"PD-L1+, fusion+",metastatic · squamous · measurable (RECIST)
