nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,BRAF,first_line,later_line,biomarker_selected
NCT03071406,Randomized Study of Nivolumab+Ipilimumab+/- SBRT for Metastatic Merkel Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,active_comparator,2,ipilimumab;nivolumab;stereotactic body radiation therapy (sbrt),,PD-1,Monoclonal Antibody,CD30;biomarker,1,1,0,0,0,0,0
NCT03212404,Phase 1 Study of CK-301 (Cosibelimab) as a Single Agent in Subjects With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,272,"Checkpoint Therapeutics, Inc.",Checkpoint Therapeutics,3,1,0,single_arm,1,ck-301 (cosibelimab),ck-301 (cosibelimab),PD-L1,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,0,0,1
NCT03228667,QUILT-3.055: A Study of Combination Immunotherapies in Patients Who Have Previously Received Treatment With Immune Checkpoint Inhibitors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"ImmunityBio, Inc.",ImmunityBio,63,1,0,multi_experimental,6,,n-803 + atezolizumab;n-803 + atezolizumab + pd-l1 t-hank;n-803 + avelumab;n-803 + avelumab + pd-l1 t-hank;n-803 + docetaxel + nivolumab;n-803 + docetaxel + pembrolizumab;n-803 + durvalumab;n-803 + durvalumab + pd-l1 t-hank;n-803 + nivolumab;n-803 + nivolumab + pd-l1 t-hank;n-803 + pembrolizumab;n-803 + pembrolizumab + pd-l1 t-hank,PD-1,Monoclonal Antibody,ALK;BRAF;HER2;KRAS;MET;NTRK;PD-L1;PR;RET;ROS1,1,1,1,0,0,0,1
NCT03271372,Adjuvant Avelumab in Merkel Cell Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,101,University of Washington,University of Washington,74,0,1,placebo_comparator,2,peripheral blood collection,avelumab;peripheral blood collection,PD-L1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT03521830,Nivolumab Alone or Plus Relatlimab or Ipilimumab for Patients With Locally-Advanced Unresectable or Metastatic Basal Cell Carcinoma,PHASE2,Phase 2,RECRUITING,57,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,active_comparator,3,nivolumab,ipilimumab;nivolumab;relatlimab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,1,0,1,0,1
NCT03573401,Study to Evaluate the Safety and Efficacy of BF-200 ALA (Ameluz®) and BF-RhodoLED® in the Treatment of Superficial Basal Cell Carcinoma (sBCC) With Photodynamic Therapy (PDT).,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,187,Biofrontera Inc.,Biofrontera,2,1,0,placebo_comparator,2,placebo photodynamic therapy (pdt) (vehicle to bf-200 ala containing no active ingredient),ameluz-pdt);photodynamic therapy (pdt) (ala-pdt,,,,0,1,0,0,0,1,0
NCT03969004,Study of Adjuvant Cemiplimab Versus Placebo After Surgery and Radiation Therapy in Patients With High Risk Cutaneous Squamous Cell Carcinoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,415,Regeneron Pharmaceuticals,Regeneron,95,1,1,placebo_comparator,2,,cemiplimab,PD-1,Monoclonal Antibody,,1,0,0,0,0,1,0
NCT04047251,A Study of FF-10850 Topotecan Liposome Injection in Advanced Solid Tumors Including Merkel Cell Carcinoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,96,"Fujifilm Pharmaceuticals U.S.A., Inc.",Fujifilm Pharmaceuticals U.,7,1,0,multi_experimental,5,ff-10850 topotecan liposome injection,ff-10850 topotecan liposome injection,Topotecan,Small Molecule,,0,1,0,0,0,1,0
NCT04050436,Study Evaluating Cemiplimab Alone and Combined With RP1 in Treating Advanced Squamous Skin Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,231,"Replimune, Inc.",Replimune,10,1,1,active_comparator,2,cemiplimab,cemiplimab;rp1,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,1
NCT04305795,An Open-label Study Using ASP-1929 Photoimmunotherapy in Combination With Anti-PD1 Therapy in EGFR Expressing Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,23,"Rakuten Medical, Inc.",Rakuten Medical,7,1,0,multi_experimental,3,asp-1929 pit,,PD-1,Monoclonal Antibody,EGFR;PD-L1,1,0,1,0,0,0,1
NCT04349436,Study to Investigate the Efficacy and Safety of RP1 in Adult Patients With Organ Transplants and Advanced Skin Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,69,"Replimune, Inc.",Replimune,10,1,0,single_arm,1,intra-tumoral injection;oncolytic virus;rp1,intra-tumoral injection;oncolytic virus;rp1,,Oncolytic Virus,,1,1,0,0,0,0,0
NCT04389632,A Study of Sigvotatug Vedotin in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,1006,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,5,sigvotatug vedotin,carboplatin;cisplatin;pembrolizumab;sigvotatug vedotin,PD-1,Monoclonal Antibody,HER2;PD-L1,1,1,0,0,1,1,0
NCT04429542,Study of Safety and Tolerability of BCA101 Monotherapy and in Combination Therapy in Patients With EGFR-driven Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,292,Bicara Therapeutics,Bicara,3,1,1,multi_experimental,2,bca101,bca101;pembrolizumab,EGFR,Bispecific Antibody,EGFR;PD-L1;biomarker;biomarker analysis,1,1,1,0,0,0,1
NCT04792073,Study of Avelumab and/or Radiation Therapy in People With Advanced Merkel Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,18,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,avelumab;comprehensive ablative radiation therapy,avelumab;comprehensive ablative radiation therapy,PD-L1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0
NCT04869137,Neoadjuvant Lenvatinib Plus Pembrolizumab in Merkel Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,26,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,lenvatinib oral product;pembrolizumab,lenvatinib oral product;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,1
NCT04928222,Placebo Microneedles in Healthy Volunteers (Part I) and Efficacy/Safety of Doxorubicin Microneedles in Basal Cell Cancer Subjects (Part II),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,25,"SkinJect, Inc.",SkinJect,3,1,0,active_comparator,2,doxorubicin-containing mna,placebo-containing mna,,,,0,1,0,0,0,1,0
NCT04975152,Neoadjuvant Cemiplimab in Newly Diagnosed or Recurrent Stage I-II Merkel Cell Carcinoma and Locoregionally Advanced Cutaneous Squamous Cell Carcinoma,PHASE1,Phase 1,RECRUITING,36,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,cemiplimab-rwlc,cemiplimab-rwlc,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,1
NCT05025813,Neoadjuvant Pembrolizumab in Cutaneous Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,27,Queensland Health,Queensland Health,1,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,1,0,0,0,1
NCT05076760,MEM-288 Oncolytic Virus Alone and in Combination With Standard of Care Therapy in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,40,"Memgen, Inc.",Memgen,4,1,0,multi_experimental,3,mem-288 intratumoral injection,docetaxel;mem-288 intratumoral injection;nivolumab,CD40L,Oncolytic Virus,ALK;BRAF;CD8+ T cells;EGFR;IFNγ;KRAS;MET;PD-L1;RET;TCF1+ stem-like CD8+ T cells,1,1,1,1,1,1,1
NCT05086692,A Beta-only IL-2 ImmunoTherapY Study,PHASE1;PHASE2,Phase 2,RECRUITING,115,"Medicenna Therapeutics, Inc.",Medicenna Therapeutics,2,1,1,single_arm,1,mdna11;pembrolizumab (keytruda),mdna11;pembrolizumab (keytruda),IL-2,Cell Therapy,MSI-H,1,1,0,0,0,1,0
NCT05120271,BOXR1030 T Cells in Subjects With Advanced GPC3-Positive Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,7,Sotio Biotech Inc.,Sotio Biotech,1,1,0,single_arm,1,car-gpc3 t cells,car-gpc3 t cells,GPC3,CAR-T,,1,1,0,0,0,1,0
NCT05157763,A Study to Evaluate the Safety and Efficacy of EscharEx (EX-02) in the Treatment of Basal Cell Carcinoma,PHASE1;PHASE2,Phase 2,RECRUITING,32,MediWound Ltd,MediWound,1,1,0,single_arm,1,escharex 5% (ex-02 formulation),escharex 5% (ex-02 formulation),,,,0,1,0,0,0,0,0
NCT05329792,L19IL2/L19TNF in Skin Cancer Patients,PHASE2,Phase 2,UNKNOWN,70,Philogen S.p.A.,Philogen S.p.A.,45,1,0,single_arm,1,l19il2/l19tnf,l19il2/l19tnf,VEGF/VEGFR,Bispecific Antibody,,1,1,0,0,0,1,0
NCT05496036,Neoadjuvant PD-1 Blockade in Resectable Merkel Cell Carcinoma,PHASE2,Phase 2,RECRUITING,15,Abramson Cancer Center at Penn Medicine,Abramson Cancer Center at Penn Medicine,31,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,1,0,0,1,1
NCT05561634,Radiotherapy by Sonic Hedgehog Pathway Inhibitors in Basal Cell Carcinoma,PHASE2,Phase 2,RECRUITING,82,"University Hospital, Lille","University Hospital, Lille",15,0,0,multi_experimental,2,radiotherapy;vismodegib,radiotherapy;vismodegib,SMO,Small Molecule,,0,1,0,0,0,0,0
NCT05565417,Study of the Monoclonal Antibody IMT-009 in Patients With Advanced Solid Tumors or Lymphomas,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,67,Immunitas Therapeutics,Immunitas Therapeutics,1,1,0,multi_experimental,3,imt-009,fruquintinib;imt-009,CD161,Monoclonal Antibody,ALK;BRAF;CD161;CLEC2D;CXCL13;HER2;KRAS;MET;MSI;MSI-H;PD-L1;RET;biomarker;dMMR,1,1,1,1,1,1,1
NCT05651828,Adaptive Therapy of Vismodegib in Advanced Basal Cell Carcinoma,EARLY_PHASE1,Phase 1,RECRUITING,34,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,active_comparator,4,vismodegib,vismodegib,SMO,Small Molecule,,0,1,0,0,0,0,0
NCT05878288,Deep sequencIng in Cutaneous Squamous CEll caRciNomas,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,11,"Peter MacCallum Cancer Centre, Australia","Peter MacCallum Cancer Centre, Australia",16,0,1,single_arm,1,cemiplimab,,PD-1,Monoclonal Antibody,PD-L1;genomic,1,0,1,0,0,0,1
NCT05888844,A Study to Evaluate INCB099280 in Participants With Advanced Cutaneous Squamous Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,63,Incyte Corporation,Incyte,162,1,0,multi_experimental,4,incb099280,incb099280,PD-L1,Small Molecule,CTCNA;PD-L1;ctDNA,0,1,1,0,1,0,1
NCT05910827,"A Phase Ib/II Study of an Anti-HER3 Antibody, HMBD-001, With Cetuximab +/- Docetaxel in Advanced Squamous Cell Cancers",PHASE1;PHASE2,Phase 2,RECRUITING,398,Hummingbird Bioscience,Hummingbird Bioscience,4,1,1,multi_experimental,3,hmbd-001,cetuximab;docetaxel;hmbd-001,HER3,Monoclonal Antibody,ALK;BRAF;HER3;KRAS;MET;RET,1,1,0,1,0,0,1
NCT06014086,Intratumoral PH-762 for Cutaneous Carcinoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,30,Phio Pharmaceuticals Inc.,Phio Pharmaceuticals,1,1,0,single_arm,1,ph-762,ph-762,PD-1,mRNA,BRAF;PD-L1,0,1,1,0,0,0,1
NCT06047379,"Safety and Efficacy of NEO212 in Patients With Astrocytoma IDH-mutant, Glioblastoma IDH-wildtype or Brain Metastasis",PHASE1;PHASE2,Phase 2,RECRUITING,134,"Neonc Technologies, Inc.",Neonc Technologies,4,1,0,multi_experimental,8,neo212 oral capsule,bevacizumab;carboplatin;folfiri protocol;ipilimumab;neo212 oral capsule;nivolumab;paclitaxel;pembrolizumab;regorafenib,,Small Molecule,,0,1,0,0,0,0,0
NCT06056895,Triple Immune Checkpoint Inhibition for Advanced or Metastatic PD-(L)1 Refractory Merkel Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,12,University of Washington,University of Washington,74,0,0,single_arm,1,biopsy;biospecimen collection;computed tomography;magnetic resonance imaging;retifanlimab;tuparstobart;verzistobart,biopsy;biospecimen collection;computed tomography;magnetic resonance imaging;retifanlimab;tuparstobart;verzistobart,PD-1,Monoclonal Antibody,MET;PD-L1;PR,1,1,0,0,0,1,0
NCT06151236,Neoadjuvant Nivolumab and Relatlimab in Merkel Cell Carcinoma,PHASE2,Phase 2,RECRUITING,20,Melanoma Institute Australia,Melanoma Institute Australia,10,0,1,single_arm,1,nivolumab,nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0
NCT06171750,Phase I Study of Tolododekin Alfa (ANK-101) in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,97,"Ankyra Therapeutics, Inc",Ankyra Therapeutics,3,1,0,multi_experimental,3,tolododekin alfa,cemiplimab;tolododekin alfa,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,1,1
NCT06288191,Neoadjuvant Nivolumab and Relatlimab in Cutaneous Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,20,Melanoma Institute Australia,Melanoma Institute Australia,10,0,1,single_arm,1,nivolumab,nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0
NCT06344052,To Assess the Safety and Efficacy of SP-002 with Vismodegib for the Treatment of Locally Advanced Basal Cell Carcinoma,PHASE2,Phase 2,RECRUITING,80,"Stamford Pharmaceuticals, Inc.",Stamford Pharmaceuticals,1,1,0,placebo_comparator,3,vismodegib,sp-002;vismodegib,USP1,Small Molecule,HRD;PR;PTCH1;SMO,0,1,0,0,0,0,0
NCT06398418,R-5780-01 In Combination With PD-1 Checkpoint Inhibitors (Checkpoint Protein on Immune Cells Called T Cells) in Patients With Solid Tumors,PHASE1,Phase 1,RECRUITING,33,Rise Therapeutics LLC,Rise Therapeutics,1,1,0,single_arm,1,r-5780,,PD-1,,BRAF,0,0,0,0,0,1,0
NCT06422936,Clinical Trial to Evaluate BO-112 in Patients With Basal Cell Carcinoma (BCC),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,Highlight Therapeutics,Highlight Therapeutics,4,1,0,multi_experimental,2,bo-112,bo-112,,Oncolytic Virus,,1,1,0,0,0,0,0
NCT06444815,A Study of VET3-TGI in Patients With Solid Tumors,PHASE1,Phase 1,RECRUITING,60,KaliVir Immunotherapeutics,KaliVir Immunotherapeutics,1,1,0,multi_experimental,4,vet3-tgi,atezolizumab;vet3-tgi,TGF-β,Oncolytic Virus,,1,1,1,0,0,0,1
NCT06567314,Phase 2 Study of Ivonescimab in Patients With Cutaneous Squamous Cell Carcinoma,PHASE2,Phase 2,RECRUITING,24,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,single_arm,1,ivonescimab,ivonescimab,PD-1,Bispecific Antibody,BRAF;MSS;PD-L1;ctDNA;pMMR,1,1,1,0,0,1,1
NCT06585410,Study of Intralesional Cemiplimab in Adult Patients With Early Stage Cutaneous Squamous Cell Carcinoma,PHASE3,Phase 3,RECRUITING,369,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,2,cemiplimab,cemiplimab,PD-1,Monoclonal Antibody,,1,1,0,0,0,0,0
NCT06624475,Neoadjuvant Nivolumab + Relatlimab (Opdualag) Versus Nivolumab for Resectable High-Risk Basal Cell Carcinoma,PHASE2,Phase 2,RECRUITING,30,"University of California, San Diego","University of California, San Diego",28,0,1,multi_experimental,2,,nivolumab;relatlimab plus nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,1,0,0
NCT06814496,Radiation Combined With BIspecific T-Cell Engager in DLL3 Expressing Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,30,University of Arizona,University of Arizona,8,0,1,multi_experimental,4,tarlatamab,concurrent radiation therapy;sequential radiation therapy;tarlatamab,DLL3,Bispecific Antibody,DLL3;MET,1,1,0,0,1,1,0
NCT06940440,IFx-Hu2.0 As An Adjunctive Therapy To Pembrolizumab In Advanced Or Metastatic Merkel Cell Carcinoma (MCC),PHASE1,Phase 1,RECRUITING,9,"TuHURA Biosciences, Inc.",TuHURA Biosciences,5,1,0,single_arm,1,ifx-hu2.0;pembrolizumab,ifx-hu2.0;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,0,0,0,0,0
