cancer,soc_cohorts,phase3,bigpharma_trials,sponsors,enroll_total,tme_rel%,distinct_B,top_B,top_B_breadth,opportunity
Lung,394,224,188,149,143628,61,53,carboplatin,135,1.0
Breast,228,142,115,83,128979,45,41,fluorouracil,59,0.604
Colorectal,111,37,46,80,38156,75,38,bevacizumab,40,0.314
Ovarian,90,44,38,56,30912,61,25,paclitaxel,41,0.277
Prostate,84,42,47,43,43549,18,21,abiraterone,38,0.272
Liver,95,36,34,59,32772,65,37,bevacizumab,18,0.248
Pancreatic,70,24,13,61,22271,40,26,gemcitabine,42,0.221
Head & Neck,75,24,30,59,22888,67,32,pembrolizumab,24,0.217
Melanoma,66,25,30,53,19874,70,21,pembrolizumab,34,0.216
Bladder,62,35,37,36,22261,71,20,gemcitabine,26,0.209
Gastric,66,30,25,44,23498,82,29,CAPOX,17,0.194
Endometrial,53,28,21,36,20458,77,26,paclitaxel,23,0.177
Glioma,51,9,9,47,6703,39,20,temozolomide,27,0.138
Renal,40,17,21,26,20033,45,18,pembrolizumab,10,0.135
Esophageal,37,14,13,29,12033,78,21,paclitaxel,11,0.116
Neuroendocrine,17,11,6,13,5693,47,14,octreotide,5,0.059
Sarcoma,15,6,4,13,3023,20,15,sunitinib,3,0.036
Mesothelioma,7,1,6,6,3049,100,8,pembrolizumab,3,0.022
Skin,10,2,5,8,1142,70,5,pembrolizumab,4,0.007
