B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
gemcitabine,26,15,16,75.2,24,14241,69,65,0.9739999999436459
cisplatin,17,13,12,49.6,16,11483,94,82,0.7204384295810444
pembrolizumab,14,11,9,27.6,5,4901,79,36,0.5440965409423979
carboplatin,12,10,8,34.6,11,8244,100,83,0.5331341153020086
enfortumab vedotin,7,7,3,14.8,3,2830,86,29,0.29125936412124553
docetaxel,7,4,1,19.6,6,1963,43,14,0.21830275182070882
durvalumab,5,2,5,11.6,3,1439,100,40,0.20466239411825354
paclitaxel,5,5,1,15.0,5,1798,80,20,0.20297964251382553
nivolumab,5,5,2,7.6,1,1416,80,20,0.19335384237651815
mitomycin,4,3,4,12.0,4,1402,50,75,0.17574450745658293
FP,2,2,2,6.0,2,910,100,100,0.1264515703672174
erdafitinib,4,2,4,5.8,0,604,0,100,0.12194823125077796
standard_of_care,2,2,0,6.0,2,690,100,0,0.07696417155397522
fluorouracil,2,2,0,2.6,0,190,0,0,0.0
