B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
fluorouracil,59,33,29,135.8,33,19964,3,92,0.9396116016756781
fulvestrant,53,28,29,126.6,32,19116,0,94,0.8590342718774359
paclitaxel,44,25,21,116.8,34,26435,89,89,0.7764287858082223
capecitabine,43,26,20,119.2,36,27228,86,98,0.7756612889733436
trastuzumab,45,20,20,110.8,29,21247,84,98,0.7513136335516661
nab-paclitaxel,24,14,15,67.8,21,14259,96,96,0.4950178672359821
letrozole,27,15,15,75.4,23,37290,0,85,0.4871134376009713
gemcitabine,21,17,9,61.6,20,10346,90,95,0.4472782878640258
carboplatin,20,14,11,55.8,17,15527,90,100,0.43554197428560504
pertuzumab,22,13,6,57.6,16,12217,82,95,0.417991119542081
eribulin,19,16,5,52.8,16,7884,84,95,0.3955780145034097
pembrolizumab,15,10,12,32.8,8,11533,87,87,0.3463352120037213
exemestane,17,11,10,46.8,14,29335,0,88,0.33989127918188594
docetaxel,16,9,0,42.4,12,9109,94,100,0.3178799207897269
palbociclib,16,9,13,39.2,11,8538,6,88,0.3166155146550288
anastrozole,16,8,8,46.6,15,30748,0,88,0.3099967047762931
ribociclib,15,9,12,38.8,11,9322,0,100,0.3093890593183079
vinorelbine,13,12,2,36.2,11,4887,85,92,0.29411937657502296
abemaciclib,13,7,10,32.8,9,17236,0,100,0.27706556936506765
doxorubicin,10,4,8,28.6,9,11705,100,100,0.27255364578072855
cyclophosphamide,10,7,5,23.2,6,9317,90,100,0.26134354627961365
trastuzumab deruxtecan,9,4,8,18.8,4,2724,100,100,0.23855663770707253
standard_of_care,10,7,3,27.2,8,7959,50,90,0.22918444206617977
epirubicin,7,5,4,18.2,5,8315,100,100,0.2229757752173289
tamoxifen,9,6,5,25.6,8,26730,0,89,0.21146049532027697
olaparib,9,3,8,20.8,5,6014,33,89,0.20470439029991433
tucatinib,7,4,6,12.0,1,1069,14,100,0.15424869739940053
sacituzumab govitecan,6,4,3,12.4,2,1105,83,67,0.1494059976322895
liposomal doxorubicin,3,1,3,9.0,3,2542,100,100,0.14608724506015427
everolimus,6,5,4,15.2,4,1948,0,83,0.13549219246905625
durvalumab,2,2,2,2.6,0,363,100,100,0.11044061898207988
goserelin,2,1,2,4.0,1,1428,0,100,0.07263544462711098
s-1,2,2,0,2.6,0,518,0,50,0.02618960492729578
niraparib,2,1,2,4.6,1,77,0,50,0.010227814020617438
