B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
bevacizumab,40,37,16,88.8,19,14909,82,65,0.9804999999614634
FOLFOX,20,19,8,42.8,9,6511,80,75,0.53058590097518
cetuximab,14,12,9,34.4,9,5960,71,79,0.42075661162239697
FOLFIRI,11,11,6,24.0,5,4192,73,91,0.34293546185085577
pembrolizumab,11,9,8,16.4,0,2734,73,64,0.32452210527591857
FOLFOXIRI,7,6,5,18.2,5,3584,100,86,0.268463398994922
CAPOX,8,6,2,17.8,4,2709,100,75,0.25028856424206203
standard_of_care,7,7,2,15.4,3,1851,71,86,0.2228771927918728
fruquintinib,6,6,0,13.8,3,1013,83,83,0.1867760193174629
trifluridine/tipiracil,5,5,1,13.0,4,1782,100,60,0.18594979945561926
capecitabine,6,6,1,11.8,2,994,83,50,0.1811154885564971
fluorouracil,5,5,2,8.8,1,1357,80,40,0.16759919177492238
trastuzumab,4,3,3,5.8,0,894,75,100,0.16051462980687098
regorafenib,4,3,0,12.0,4,1406,75,100,0.1532075273944628
s-1,5,4,0,7.6,1,1336,40,80,0.13842150644259146
dostarlimab,3,1,3,6.2,1,267,100,100,0.137869283455198
nivolumab,3,3,1,5.6,1,5138,67,33,0.13184328237211404
leucovorin,4,4,1,7.8,1,1360,50,50,0.13061079824378988
trastuzumab deruxtecan,2,1,2,3.2,0,579,100,100,0.12397358300093327
atezolizumab,2,2,2,4.6,1,5058,50,0,0.10322376060333857
oxaliplatin,2,2,0,4.0,1,709,100,50,0.10195859750725766
tucatinib,2,2,2,2.6,0,65,0,100,0.04916666666531343
