B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
paclitaxel,23,16,11,63.4,19,12293,83,74,0.9836999999403696
pembrolizumab,16,11,10,34.8,7,7788,81,69,0.7025137952824745
carboplatin,13,9,7,37.6,12,7916,92,85,0.6020242846458951
cisplatin,12,8,4,34.0,11,7187,92,75,0.5257686847785804
bevacizumab,10,10,1,24.4,6,3762,100,60,0.43976223974137063
doxorubicin,7,7,4,19.6,6,3790,86,100,0.373048263682818
docetaxel,6,4,4,18.0,6,3841,83,83,0.311792641092871
standard_of_care,3,3,1,9.0,3,1452,100,67,0.1751198990885981
durvalumab,3,2,3,7.0,2,970,67,100,0.17021032889910412
pemetrexed,3,3,1,9.0,3,1452,67,33,0.1484198990888651
topotecan,3,3,1,9.0,3,1452,67,33,0.1484198990888651
gemcitabine,3,3,1,9.0,3,1452,67,33,0.1484198990888651
nab-paclitaxel,2,2,1,4.6,1,980,100,50,0.12348074350535607
dostarlimab,2,1,2,4.6,1,640,100,50,0.11821198816537938
olaparib,2,1,2,6.0,2,850,50,100,0.11531943427345674
lenvatinib,3,2,0,6.2,1,779,0,100,0.09909271160280252
s-1,2,2,0,2.6,0,274,50,50,0.06483188370484037
cyclophosphamide,2,2,0,2.6,0,98,100,0,0.059999999998833334
