B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
paclitaxel,11,9,3,24.6,5,2749,82,36,0.9230780883296437
irinotecan,8,8,2,21.2,6,3068,62,25,0.6833651109604693
FOLFOX,7,5,3,12.6,1,2881,86,100,0.587573166665514
pembrolizumab,7,6,4,10.6,0,903,71,57,0.568406571320022
nivolumab,6,6,2,12.6,3,3954,100,83,0.5413392856350636
capecitabine,5,4,3,12.2,3,3847,100,100,0.4815409290351171
docetaxel,5,5,1,15.0,5,2400,60,20,0.3890018979209865
FP,4,4,1,12.0,4,2160,100,100,0.3551739609060023
cisplatin,5,5,0,8.0,0,457,80,20,0.28516335225896294
tislelizumab,4,3,0,7.8,1,270,75,75,0.19419685499472303
s-1,3,3,0,7.0,2,980,33,33,0.12549723760923243
standard_of_care,2,2,0,6.0,2,1203,100,50,0.10929252852852317
trastuzumab,2,2,1,4.6,1,960,50,100,0.10574234840809846
fluorouracil,2,2,0,6.0,2,1153,50,50,0.0708714915673294
