B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
pembrolizumab,24,21,12,47.8,8,7678,75,83,0.9823999999418798
cisplatin,8,7,3,17.8,4,2118,62,88,0.3462754487562266
carboplatin,7,7,5,13.4,2,1548,86,86,0.3391860074034959
paclitaxel,8,8,2,13.6,1,964,50,75,0.3085550544217864
cetuximab,6,6,2,15.2,4,1336,83,67,0.27683093115487656
docetaxel,6,5,0,13.8,3,1539,83,50,0.2425004939029307
gemcitabine,6,5,0,15.2,4,1755,67,50,0.24076359257274804
capecitabine,5,4,0,12.2,3,1734,80,40,0.20736461295385702
standard_of_care,4,4,0,10.6,3,1166,75,50,0.17615264456826843
cemiplimab,3,2,3,4.8,0,272,100,100,0.15713804776090023
nivolumab,3,3,1,5.0,1,5265,33,0,0.13092921324609783
fluorouracil,3,3,1,4.2,0,912,67,33,0.12636222332045577
pemetrexed,2,2,0,3.2,0,800,100,100,0.11991683574307013
FP,2,2,2,3.2,0,322,100,50,0.10981614533963074
s-1,3,3,0,3.6,0,361,67,67,0.10943194136218623
selpercatinib,2,1,2,3.2,0,113,0,0,0.01999999999833333
