B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
bevacizumab,18,13,6,40.2,9,7982,94,17,0.9307638396276277
durvalumab,15,9,9,37.4,10,5815,87,27,0.8218010491164243
gemcitabine,15,10,5,36.0,9,6166,67,27,0.7670730695385509
cisplatin,12,9,4,29.0,7,4836,83,33,0.6385955786784127
atezolizumab,10,9,7,23.8,6,9764,80,20,0.6092831402304163
lenvatinib,12,9,4,22.8,3,2811,75,8,0.5926168521843342
pembrolizumab,10,9,5,18.2,2,3509,50,70,0.551484925440676
sorafenib,6,6,3,15.2,4,3556,67,33,0.35715307324139667
nivolumab,7,7,1,11.4,1,5896,43,29,0.3528819279330163
sintilimab,6,6,0,15.2,4,2858,100,33,0.32983483485951004
tremelimumab,6,4,4,13.8,3,1419,83,0,0.3183742349921626
capecitabine,6,4,1,18.0,6,2254,33,17,0.2835006824502556
fluorouracil,4,4,1,5.2,0,481,25,0,0.14402237898758163
cyclophosphamide,4,3,1,5.8,0,177,75,0,0.14121846846076613
FOLFOXIRI,3,2,0,9.0,3,1074,67,33,0.1400788195313131
s-1,3,3,1,7.6,2,1060,0,0,0.11312124636551321
ipilimumab,2,2,1,3.2,0,264,100,50,0.1042176589014958
paclitaxel,2,2,1,6.0,2,310,100,0,0.09542468858418307
trastuzumab,2,1,2,3.2,0,257,0,50,0.05458307174771476
tucatinib,2,1,2,3.2,0,257,0,50,0.05458307174771476
standard_of_care,2,2,0,6.0,2,266,50,0,0.05442501461815499
FOLFOX,2,2,0,4.6,1,400,0,0,0.03161508050507829
regorafenib,2,2,0,4.6,1,195,0,0,0.019102702762490254
