B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
carboplatin,135,58,78,349.4,97,60927,69,67,0.9728529411566713
pemetrexed,104,46,64,274.2,77,50198,65,78,0.7863507599130475
pembrolizumab,100,49,63,245.0,65,49505,84,73,0.7758054797357536
cisplatin,86,35,57,235.0,70,42218,67,72,0.6679618438822547
paclitaxel,53,26,36,134.6,36,27217,81,75,0.4657740436230023
docetaxel,44,39,17,114.6,32,18465,64,80,0.4216825223398653
osimertinib,38,19,15,81.4,16,10768,32,87,0.31359954003211754
etoposide,29,20,15,72.6,20,10326,86,31,0.28924254802307975
durvalumab,25,13,21,57.6,13,8400,84,68,0.2706198772127976
atezolizumab,23,17,16,55.2,14,6296,91,43,0.2572033255799057
nab-paclitaxel,17,8,15,42.6,11,9146,88,76,0.22132644897848067
gemcitabine,15,5,13,40.8,12,10456,80,87,0.20430929781939244
fluorouracil,19,16,2,30.2,2,3130,32,47,0.17413718587105093
tislelizumab,13,10,1,36.2,11,5928,77,62,0.17377331350970032
topotecan,13,12,5,37.0,12,5501,69,15,0.16405660263992522
cemiplimab,11,6,8,21.8,3,1328,73,82,0.14999669621457362
nivolumab,10,10,5,19.8,4,2116,70,60,0.14777545120306723
standard_of_care,7,7,1,21.0,7,3040,57,71,0.12550505266028938
vinorelbine,5,4,3,15.0,5,2494,60,100,0.12116822955411036
bevacizumab,3,3,0,7.6,2,1330,100,100,0.11727359409640124
crizotinib,8,8,3,24.0,8,1999,0,100,0.11271748098515831
ramucirumab,4,3,2,7.2,1,984,100,75,0.11135565113680437
s-1,12,3,0,13.8,0,2694,8,42,0.09155718054735379
ipilimumab,2,2,1,3.2,0,202,100,100,0.08987915497256162
erlotinib,3,2,2,7.6,2,1058,67,67,0.08698631862666117
olaparib,2,2,2,4.6,1,936,50,100,0.08424102293932606
sacituzumab govitecan,2,1,2,3.2,0,385,100,50,0.07840723219136556
adagrasib,3,2,1,6.2,1,628,33,100,0.07367810863717736
trastuzumab deruxtecan,2,2,2,2.6,0,187,100,50,0.07267743212906802
trastuzumab,3,3,3,4.2,0,404,67,33,0.06701061508695068
alectinib,2,2,0,6.0,2,1050,0,100,0.05798746187268156
cyclophosphamide,5,5,1,5.6,0,153,60,20,0.05746416219510588
sintilimab,2,2,0,4.6,1,477,50,50,0.05590449369801506
gefitinib,2,2,0,6.0,2,695,0,100,0.05332601199003103
lorlatinib,2,2,1,2.6,0,124,0,100,0.03417004048541113
