B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
pembrolizumab,34,29,18,65.0,11,9992,74,62,0.9755999999552367
nivolumab,19,16,5,47.6,14,7650,79,58,0.5669336812291319
relatlimab,6,6,2,18.0,6,2714,100,67,0.2442554541188462
dacarbazine,7,7,0,18.2,5,1348,57,71,0.2195605197884655
ipilimumab,6,6,1,15.2,4,1626,83,50,0.21009025519699245
temozolomide,6,6,0,15.2,4,928,67,83,0.19643635640886248
paclitaxel,4,4,0,9.2,2,715,75,100,0.14978911138618897
cemiplimab,4,3,3,6.4,0,454,100,25,0.14126550303955485
carboplatin,3,3,0,7.6,2,617,67,100,0.12053512988204045
cisplatin,3,3,0,6.2,1,355,67,100,0.10889899210244948
cyclophosphamide,4,4,0,4.6,0,120,75,50,0.09710119047428989
fluorouracil,2,2,1,2.0,0,612,0,0,0.032399353113095684
