B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
paclitaxel,41,26,12,100.0,25,16181,73,76,0.9440058823122053
bevacizumab,27,16,17,69.8,19,14799,93,81,0.7246049621550635
doxorubicin,21,16,8,57.4,17,10045,81,86,0.5644145290917465
carboplatin,20,13,9,43.2,8,8251,80,70,0.5135834315303089
liposomal doxorubicin,16,12,8,43.8,13,8257,75,94,0.4596415367131191
gemcitabine,13,9,8,34.8,10,6413,85,92,0.3944901516831035
topotecan,13,11,5,37.0,12,6768,85,92,0.38964366416739066
olaparib,12,6,7,27.2,7,3875,8,92,0.30032330998882417
pembrolizumab,8,8,7,15.0,2,1736,100,75,0.27825619231762405
durvalumab,2,2,2,4.0,1,1527,100,100,0.12684309987340597
niraparib,4,4,1,9.2,2,1947,25,75,0.12126479612145324
docetaxel,2,2,1,6.0,2,829,100,100,0.11270253860819532
standard_of_care,3,3,0,9.0,3,2006,33,100,0.10812590183955097
nab-paclitaxel,3,2,0,7.6,2,837,67,100,0.10299355463029027
cyclophosphamide,5,4,1,6.8,0,204,80,0,0.09848956083962343
s-1,3,3,0,3.6,0,592,33,33,0.06120813526986433
fluorouracil,3,3,1,5.0,1,1257,0,0,0.055805775448162065
