B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
gemcitabine,42,37,4,86.6,16,11550,38,14,0.9523333332670748
paclitaxel,40,35,4,80.6,14,10975,42,15,0.914120724693291
nab-paclitaxel,30,26,4,61.0,11,8091,30,17,0.7197944003189667
FOLFIRINOX,9,9,2,15.4,2,1456,33,0,0.24103061677827436
FOLFOXIRI,5,3,2,11.0,3,1841,40,60,0.20251136440316625
pembrolizumab,4,4,3,6.4,0,365,75,25,0.1939759587721902
atezolizumab,2,2,1,4.6,1,5122,50,0,0.12030410545034502
capecitabine,2,2,1,4.0,1,433,50,0,0.07318517801149083
FOLFIRI,2,2,0,4.6,1,648,50,0,0.05164894291522809
fluorouracil,4,4,0,6.6,1,599,0,0,0.051035784994226355
FOLFOX,2,2,0,3.2,0,273,0,50,0.024999999999583335
everolimus,2,2,0,6.0,2,778,0,0,0.023913827273686006
