B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
abiraterone,38,21,23,92.8,25,25780,13,61,0.9311636363268593
enzalutamide,32,23,20,76.8,20,22570,9,66,0.8291023754654635
docetaxel,15,12,10,36.8,10,9153,53,87,0.44999619777320427
darolutamide,11,7,10,23.4,5,6551,9,73,0.31665644871298393
apalutamide,7,5,4,14.2,3,3129,14,57,0.19790301978203004
cabazitaxel,4,3,4,10.0,3,2427,75,100,0.18127610123595278
standard_of_care,5,3,3,12.2,3,2271,0,80,0.14748752765375772
cyclophosphamide,2,2,0,2.6,0,48,100,100,0.0868181818170719
lutetium lu 177,2,2,0,3.2,0,238,50,100,0.08038681949198516
olaparib,2,2,0,4.6,1,265,50,50,0.0686003452527972
s-1,3,2,0,4.2,0,434,0,33,0.05591887382765831
bicalutamide,2,2,0,4.0,1,1523,0,0,0.04723769916259071
niraparib,2,1,2,2.6,0,272,0,50,0.04462466504019782
fluorouracil,2,2,0,4.0,1,596,0,0,0.03676740921068916
