B (standard therapy),demand_breadth,sponsors,bigpharma,phase_weight,n_phase3,enroll_sum,tme_rel%,biomarker%,value_score
pembrolizumab,10,6,7,19.0,3,5217,90,40,0.9726226282757744
nivolumab,7,6,2,14.2,3,7065,29,57,0.6631616038270337
cabozantinib,6,4,4,16.6,5,8344,0,17,0.5720184873145376
lenvatinib,6,4,3,11.2,2,2581,83,17,0.5341518688546287
sunitinib,5,4,3,15.0,5,2122,20,40,0.4811685338088646
axitinib,4,4,1,7.2,1,791,75,75,0.3548937711444181
ipilimumab,3,3,0,5.6,1,1009,33,67,0.21940363828966905
everolimus,2,2,1,6.0,2,1020,0,50,0.1302485800721689
pazopanib,2,2,0,4.6,1,443,50,0,0.09254312119791328
cyclophosphamide,2,2,0,2.6,0,180,100,0,0.0862394789857463
fluorouracil,2,2,1,2.0,0,652,0,0,0.07168596766568398
s-1,2,1,0,2.6,0,164,0,0,0.004588235293847752
